,Data,Sil_Score,n_clusters,Metodo
0,Ptrans_test1,0.20154400921916252,2,Agglomerative
1,Ptrans_test1_TA,0.172514604595549,2,Agglomerative
2,Ptrans_test2,0.19081922451866407,2,Agglomerative
3,Ptrans_test2_TA,0.20206637244937217,2,Agglomerative
4,Ptrans_test3,0.23056206981435848,2,Agglomerative
5,Ptrans_test3_TA,0.23742893343046906,2,Agglomerative
6,Ptrans_test1,0.16775015067703392,3,Agglomerative
7,Ptrans_test1_TA,0.16566104094329567,3,Agglomerative
8,Ptrans_test2,0.21493390193337594,3,Agglomerative
9,Ptrans_test2_TA,0.22587190807585344,3,Agglomerative
10,Ptrans_test3,0.22372647134046306,3,Agglomerative
11,Ptrans_test3_TA,0.2336766825629637,3,Agglomerative
12,Ptrans_test1,0.18292365713235542,4,Agglomerative
13,Ptrans_test1_TA,0.16364625874041458,4,Agglomerative
14,Ptrans_test2,0.20476823772342911,4,Agglomerative
15,Ptrans_test2_TA,0.22953281866683503,4,Agglomerative
16,Ptrans_test3,0.22710801302589553,4,Agglomerative
17,Ptrans_test3_TA,0.22072802255776003,4,Agglomerative
18,Ptrans_test1,0.18398654333709474,5,Agglomerative
19,Ptrans_test1_TA,0.16955464276272134,5,Agglomerative
20,Ptrans_test2,0.20961536917952417,5,Agglomerative
21,Ptrans_test2_TA,0.21313899281714957,5,Agglomerative
22,Ptrans_test3,0.23163075173203604,5,Agglomerative
23,Ptrans_test3_TA,0.22651558809130748,5,Agglomerative
24,Ptrans_test1,0.19451013578545398,6,Agglomerative
25,Ptrans_test1_TA,0.19119685845677156,6,Agglomerative
26,Ptrans_test2,0.20321770367338537,6,Agglomerative
27,Ptrans_test2_TA,0.21203331153097044,6,Agglomerative
28,Ptrans_test3,0.20380588469115513,6,Agglomerative
29,Ptrans_test3_TA,0.21013887363910208,6,Agglomerative
30,Ptrans_test1,0.19256566863174976,7,Agglomerative
31,Ptrans_test1_TA,0.20127679935345652,7,Agglomerative
32,Ptrans_test2,0.20198868652237062,7,Agglomerative
33,Ptrans_test2_TA,0.18739544367805755,7,Agglomerative
34,Ptrans_test3,0.20752332559590558,7,Agglomerative
35,Ptrans_test3_TA,0.2209879153549572,7,Agglomerative
36,Ptrans_test1,0.19709987310538624,8,Agglomerative
37,Ptrans_test1_TA,0.19638762240137186,8,Agglomerative
38,Ptrans_test2,0.17201583299888237,8,Agglomerative
39,Ptrans_test2_TA,0.187411210975066,8,Agglomerative
40,Ptrans_test3,0.2171480805829584,8,Agglomerative
41,Ptrans_test3_TA,0.21049284399618667,8,Agglomerative
42,Ptrans_test1,0.19245635037676886,9,Agglomerative
43,Ptrans_test1_TA,0.20255234106800551,9,Agglomerative
44,Ptrans_test2,0.18024162833750074,9,Agglomerative
45,Ptrans_test2_TA,0.19033548330671005,9,Agglomerative
46,Ptrans_test3,0.2067987741041708,9,Agglomerative
47,Ptrans_test3_TA,0.21241675136328353,9,Agglomerative
48,Ptrans_test1,0.19625760903490308,10,Agglomerative
49,Ptrans_test1_TA,0.19884081328842113,10,Agglomerative
50,Ptrans_test2,0.1753278140603974,10,Agglomerative
51,Ptrans_test2_TA,0.2051711129757596,10,Agglomerative
52,Ptrans_test3,0.2086959605356135,10,Agglomerative
53,Ptrans_test3_TA,0.2191443127536389,10,Agglomerative
