,ciudades,value,count
0,Albacete,tipico,15
1,Alcala,tipico,14
2,Alcala,atipico,1
3,Alcobendas,tipico,14
4,Alcobendas,atipico,1
5,Alcorcon,tipico,14
6,Alcorcon,atipico,1
7,Algeciras.shp,tipico,15
8,Alicante,tipico,14
9,Alicante,atipico,1
10,Almeria,tipico,15
11,Avila,tipico,14
12,Avila,atipico,1
13,Badajoz,tipico,13
14,Badajoz,atipico,2
15,Badalona,tipico,15
16,Barcelona,tipico,12
17,Barcelona,atipico,3
18,Burgos,tipico,14
19,Burgos,atipico,1
20,Caceres,tipico,15
21,Cadiz,tipico,14
22,Cadiz,atipico,1
23,Cartagena,tipico,15
24,Castello,tipico,15
25,Ceuta,tipico,13
26,Ceuta,atipico,2
27,Ciudad,tipico,14
28,Ciudad,atipico,1
29,Cordoba,tipico,13
30,Cordoba,atipico,2
31,Corunia,tipico,14
32,Corunia,atipico,1
33,Cuenca,tipico,15
34,Elche,tipico,13
35,Elche,atipico,2
36,Fuenlabrada,tipico,13
37,Fuenlabrada,atipico,2
38,Getafe.shp,tipico,14
39,Getafe.shp,atipico,1
40,Gijon,tipico,15
41,Girona,tipico,13
42,Girona,atipico,2
43,Granada,tipico,15
44,Guadalajara,tipico,14
45,Guadalajara,atipico,1
46,Hospitalet,tipico,13
47,Hospitalet,atipico,2
48,Huelva,tipico,15
49,Huesca,tipico,15
50,Jaen,tipico,15
51,Jerez,tipico,14
52,Jerez,atipico,1
53,Las,tipico,15
54,Leganes.shp,tipico,14
55,Leganes.shp,atipico,1
56,Leon,tipico,14
57,Leon,atipico,1
58,Lleida,tipico,15
59,Logronio,tipico,14
60,Logronio,atipico,1
61,Lugo,tipico,15
62,Madrid,tipico,13
63,Madrid,atipico,2
64,Malaga,tipico,11
65,Malaga,atipico,4
66,Marbella,tipico,14
67,Marbella,atipico,1
68,Mataro,tipico,13
69,Mataro,atipico,2
70,Melilla,tipico,14
71,Melilla,atipico,1
72,Mostoles,tipico,14
73,Mostoles,atipico,1
74,Murcia,tipico,15
75,Ourense,tipico,15
76,Oviedo,tipico,14
77,Oviedo,atipico,1
78,Palencia,tipico,14
79,Palencia,atipico,1
80,Palma,tipico,14
81,Palma,atipico,1
82,Parla,tipico,14
83,Parla,atipico,1
84,Pontevedra,tipico,14
85,Pontevedra,atipico,1
86,Reus,tipico,15
87,Sabadell.shp,tipico,15
88,Salamanca,tipico,14
89,Salamanca,atipico,1
90,San,tipico,15
91,Santa,tipico,25
92,Santa,atipico,5
93,Santander,tipico,15
94,Segovia,tipico,13
95,Segovia,atipico,2
96,Sevilla,tipico,12
97,Sevilla,atipico,3
98,Soria,tipico,15
99,Tarragona,tipico,14
100,Tarragona,atipico,1
101,Telde,tipico,15
102,Terrasa,tipico,15
103,Teruel,tipico,15
104,Toledo,tipico,14
105,Toledo,atipico,1
106,Torrejon,tipico,14
107,Torrejon,atipico,1
108,Valencia,tipico,14
109,Valencia,atipico,1
110,Valladolid,tipico,15
111,Vigo,tipico,14
112,Vigo,atipico,1
113,Zamora,tipico,15
114,Zaragoza,tipico,15
115,doshermanas,tipico,15
