,forma,area
0,Albacete,Albacete
1,Alcala,Alcala
2,Alcobendas,Alcobendas
3,Alcorcon,Alcorcon
4,Algeciras,Algeciras
5,Alicante,Alicante
6,Almeria,Almeria
7,Avila,Avila
8,Badajoz,Badajoz
9,Badalona,Badalona
10,Barcelona,Barcelona
11,Burgos,Burgos
12,Caceres,Caceres
13,Cadiz,Cadiz
14,Cartagena,Cartagena
15,Castello,Castello
16,Ceuta,Ceuta
17,Ciudad real,Ciudad real
18,Cordoba,Cordoba
19,Corunia,Corunia
20,Cuenca,Cuenca
21,Dos hermanas,Dos hermanas
22,Elche,Elche
23,Fuentelabra,Fuentelabra
24,Getafe,Getafe
25,Gijon,Gijon
26,Girona,Girona
27,Granada,Granada
28,Guadalajara,Guadalajara
29,Hospitalet,Hospitalet
30,Huelva,Huelva
31,Huesca,Huesca
32,Jaen,Jaen
33,Jerez,Jerez
34,Las palmas,Las palmas
35,Leganes,Leganes
36,Leon,Leon
37,Lleida,Lleida
38,Logronio,Logronio
39,Lugo,Lugo
40,Madrid,Madrid
41,Malaga,Malaga
42,Marbella,Marbella
43,Mataro,Mataro
44,Melilla,Melilla
45,Mostoles,Mostoles
46,Murcia,Murcia
47,Ourense,Ourense
48,Oviedo,Oviedo
49,Palencia,Palencia
50,Palma,Palma
51,Parla,Parla
52,Pontevedra,Pontevedra
53,Sabadell,Sabadell
54,Salamanca,Salamanca
55,San cristobal,San cristobal
56,Santa coloma,Santa coloma
57,Santa cruz,Santa cruz
58,Santander,Santander
59,Segovia,Segovia
60,Sevilla,Sevilla
61,Soria,Soria
62,Terragona,Terragona
63,Terrasa,Terrasa
64,Teruel,Teruel
65,Toledo,Toledo
66,Torrejon,Torrejon
67,Valencia,Valencia
68,Valladolid,Valladolid
69,Vigo,Vigo
70,Zamora,Zamora
71,Zaragoza,Zaragoza
