,ciudades,value,count
92,Santa,atipico,5
65,Malaga,atipico,4
17,Barcelona,atipico,3
97,Sevilla,atipico,3
35,Elche,atipico,2
30,Cordoba,atipico,2
63,Madrid,atipico,2
47,Hospitalet,atipico,2
42,Girona,atipico,2
37,Fuenlabrada,atipico,2
69,Mataro,atipico,2
95,Segovia,atipico,2
26,Ceuta,atipico,2
14,Badajoz,atipico,2
71,Melilla,atipico,1
100,Tarragona,atipico,1
89,Salamanca,atipico,1
85,Pontevedra,atipico,1
105,Toledo,atipico,1
83,Parla,atipico,1
81,Palma,atipico,1
79,Palencia,atipico,1
77,Oviedo,atipico,1
107,Torrejon,atipico,1
109,Valencia,atipico,1
73,Mostoles,atipico,1
2,Alcala,atipico,1
57,Leon,atipico,1
67,Marbella,atipico,1
60,Logronio,atipico,1
4,Alcobendas,atipico,1
55,Leganes.shp,atipico,1
52,Jerez,atipico,1
45,Guadalajara,atipico,1
39,Getafe.shp,atipico,1
32,Corunia,atipico,1
28,Ciudad,atipico,1
22,Cadiz,atipico,1
19,Burgos,atipico,1
12,Avila,atipico,1
9,Alicante,atipico,1
6,Alcorcon,atipico,1
112,Vigo,atipico,1
