F1,F2,F3,F4,F5,Ciudades,cluster
1.06148714,-1.009036598,-0.164727661,1.739805351,-0.577364579,Albacete,0
0.30826806,-2.02576795,0.162730274,0.31599753,0.885127892,Alcalá de Henares,0
-1.904836079,-3.552659727,0.162730274,0.483078069,-0.848097069,Alcobendas,0
-2.113381136,-2.269304512,0.013625337,0.346387517,0.97698489,Alcorcón,0
2.320287042,2.350698074,0.303234933,1.189279866,-0.589304008,Almería,0
1.166818667,-1.335710194,-4.157792365,1.577965594,-1.703217014,Badajoz,0
1.319951089,3.023382842,1.300563607,1.628057936,0.212354505,Badalona,0
-0.091378326,-2.925933329,-2.760204548,-0.077512759,0.921720321,Burgos,0
0.845030164,0.629838204,2.683145311,-3.657923332,-0.034056853,Castelló de la Plana,0
2.095009134,0.387014386,2.024269282,1.461532238,0.195753018,"Coruña, A",0
0.19459036,-0.043767532,-1.905776727,-2.582509344,-0.913484513,Dos Hermanas,0
2.713005569,-0.879314385,-2.295157976,1.053650895,-1.122794256,Elche/Elx,0
-0.121108563,-1.15333197,-2.332932446,-1.376778874,1.192513132,Fuenlabrada,0
0.195302192,-0.458894996,-0.670673966,-0.315549063,0.346399219,Getafe,0
2.844455667,-1.799354827,-1.27781779,-1.695780436,-0.16693381,Gijón,0
2.70259033,0.43855129,1.582652354,-0.859101918,0.195860265,Granada,0
-1.521944991,1.543338549,2.361435383,0.897598541,-0.057206643,Jaén,0
2.722604262,0.178075103,0.637217663,-2.638158156,-0.689154046,Jerez de la Frontera,0
-1.280838302,-0.461199648,0.749955837,-1.82734148,0.608915465,León,0
-1.198155276,-1.103039494,0.305150763,0.50312048,0.452873022,Lleida,0
-1.767726465,-2.037686629,-1.062543765,2.421472726,1.388000807,Logroño,0
1.900406895,-2.33700018,-3.044567102,0.963736727,-1.200930201,Marbella,0
-1.509774158,2.528971856,2.86087823,0.153432392,-0.169667109,Mataró,0
-0.108683681,-0.827318384,2.132006605,-1.617608088,0.297671579,Móstoles,0
0.853391229,-0.984558771,-1.254876379,0.659785546,0.424208338,Oviedo,0
-0.964476781,-0.450514092,-0.131458478,-0.666788061,1.106240589,Salamanca,0
0.510979955,-1.147983703,1.243251812,-0.070795052,-0.009396609,Santander,0
-0.851298355,-1.66180592,3.390060604,-1.19724295,-0.342658978,Tarragona,0
3.078106681,-2.691803304,0.29473359,-1.452660931,0.381259274,Valladolid,0
-0.679458827,1.085105712,-3.451920166,2.201149695,-1.43993603,Algeciras,1
-3.862648821,1.141967084,-1.65405036,2.340100485,1.791793924,Cádiz,1
-2.288731024,1.07407429,0.751837999,5.58317657,-0.461088383,Girona,1
0.745722675,1.659867536,-2.292252789,1.130608435,1.429636488,"Hospitalet de Llobregat, L'",1
-1.843899858,1.62602741,1.910003441,3.519725186,0.313450209,Lugo,1
-0.196530219,1.771736615,-3.623156188,6.192006248,-1.431484015,Ourense,1
2.478733723,3.451519326,0.789722578,4.554538661,-0.097799438,Sabadell,1
2.009125656,2.339449045,-2.354992176,8.809656906,-1.148802924,San Cristóbal de La Laguna,1
2.443817732,2.428384556,-0.58191614,7.187933051,-0.369595361,Santa Cruz de Tenerife,1
2.88816043,2.965394046,-0.03354334,5.819064837,-0.478307757,Terrassa,1
4.44089655,-1.527180846,-0.554859635,3.760065679,-0.760760608,Alicante/Alacant,2
9.949572752,1.589766069,-0.475320666,3.580685233,0.752014776,Barcelona,2
3.765269876,1.214007932,-0.888376228,-3.41469955,-0.897267704,Cartagena,2
5.09170892,-0.90347302,-3.122402426,4.991222485,-1.320646195,Córdoba,2
5.304047797,3.070478159,1.109853142,3.64428068,-0.380703554,"Palmas de Gran Canaria, Las",2
11.8464636,-0.119911094,2.202502473,1.496572921,0.869507999,Madrid,2
7.019204859,0.795524872,1.546346332,4.302361601,-0.538519844,Málaga,2
6.944681892,-0.128034444,-0.082810183,-0.288660468,-0.748668532,Murcia,2
5.910225982,0.363317218,1.439399265,0.51911907,-0.515925391,Palma de Mallorca,2
7.497543764,-0.302033604,3.870063707,-0.456303786,0.645183143,Sevilla,2
7.327034906,1.370105537,-1.497920602,0.784127649,0.930897917,Valencia,2
5.105815364,1.07856505,-2.432299734,-1.559715266,-1.125450814,Vigo,2
6.542344567,-2.105629546,-0.753730037,1.318654332,0.490666402,Zaragoza,2
-5.84987313,0.832494397,1.410436725,-1.755591577,-0.395797757,Ávila,3
-5.670016079,1.800839575,3.48874917,0.157641894,-0.269210897,Ceuta,3
-4.957965623,0.432714792,-0.159111769,-2.683186501,-0.178226423,Ciudad Real,3
-6.795185517,0.367746795,2.555925232,2.048818889,0.156188086,Cuenca,3
-4.168754736,-0.864327467,1.489656676,0.448275186,0.014528096,Guadalajara,3
-8.064620414,-0.291362319,-1.197840838,2.827677354,0.946498148,Huesca,3
-4.952142348,2.334412388,2.237038267,-2.239326073,-0.034418255,Melilla,3
-4.979015703,-0.760549402,-0.538472779,-1.137662023,0.219356588,Palencia,3
-3.658955639,0.551492156,-1.235894579,-1.544725877,-0.76229742,Pontevedra,3
-4.006503039,3.80713701,-2.017523522,-2.740311292,0.2615487,Santa Coloma de Gramenet,3
-7.309199423,-0.631448384,3.364555197,-0.185296227,0.373711255,Segovia,3
-10.00793457,-0.824055753,-0.549175899,0.054389859,0.352510366,Soria,3
-9.119927079,0.003162377,-1.411294278,0.055219137,-0.258617619,Teruel,3
