F1,F2,F3,F4,F5,Ciudades,clusters,cluster
-1.344010471,0.45505838,0.723114456,-0.576872032,-0.487300563,Ávila,0,0
-0.556277129,-0.262971212,0.43349484,-2.090904543,-0.391719872,Cáceres,0,0
0.178007351,0.334544809,1.406175643,-1.144871147,-0.01478763,Castelló de la Plana,0,0
-1.303121809,1.030904267,1.838542277,-0.005617877,-0.321950369,Ceuta,0,0
-1.141244417,0.217321418,-0.119260357,-0.853833763,-0.203104698,Ciudad Real,0,0
-1.558917578,0.178686895,1.337896777,0.559050645,0.233713971,Cuenca,0,0
-0.96182539,-0.553990782,0.765631709,0.081159549,0.048674965,Guadalajara,0,0
-0.299184429,0.224549289,0.719221831,-1.472006332,1.020547381,Huelva,0,0
-1.847510624,-0.213265562,-0.676745015,0.791602574,1.266032186,Huesca,0,0
-0.360100252,0.877776116,1.233514306,0.215318729,-0.045026332,Jaén,0,0
-0.156748564,-1.289813241,0.652278012,-2.32270451,1.397637566,Leganés,0,0
-0.4332934,0.926948706,0.991231319,0.998234544,0.439132783,Lugo,0,0
-0.357333338,1.463902735,1.501564689,-0.006874752,-0.191924358,Mataró,0,0
-1.139920555,1.348204044,1.166750522,-0.721305706,-0.015259701,Melilla,0,0
-1.146029937,-0.492277073,-0.322862961,-0.392370333,0.316225884,Palencia,0,0
-0.885649292,-0.509132456,0.80269522,-2.952417327,0.667849727,Parla,0,0
-1.675773385,-0.415504563,1.771887519,-0.108012503,0.517846921,Segovia,0,0
-2.28930323,-0.530042399,-0.328607313,-0.036446918,0.490153912,Soria,0,0
-2.087423806,-0.038120543,-0.791305223,-0.036199312,-0.308113226,Teruel,0,0
-0.940597921,-2.108246383,0.122482185,-2.549772673,-1.01701351,Toledo,0,0
-1.314089701,0.229595636,0.326386012,-1.51416372,0.186127435,Vigo,0,0
0.227216632,-0.640044969,-0.1222744,0.466785237,-0.72446664,Albacete,1,1
-0.447146627,-2.152661491,0.053471885,0.091551011,-1.07810263,Alcobendas,1,1
0.995490814,-0.948169841,-0.331657767,1.069995522,-0.964022063,Alicante/Alacant,1,1
2.247832033,0.905385172,-0.288969297,1.016436023,1.011994262,Barcelona,1,1
0.462177292,0.190144755,1.05255766,0.383698319,0.285394446,"Coruña, A",1,1
0.6325563,-1.110023559,-0.71966855,-0.559013593,-0.188354069,Gijón,1,1
0.600304666,0.220792209,0.81554238,-0.309197725,0.285534534,Granada,1,1
0.604854628,0.065894819,0.308128703,-0.840389179,-0.870488194,Jerez de la Frontera,1,1
2.679070776,-0.111308652,1.148215202,0.394160783,1.165466172,Madrid,1,1
1.58164285,0.43307371,0.796056981,1.231914495,-0.6737269,Málaga,1,1
-0.038809741,-0.531982588,1.110380153,-0.535672856,0.418522433,Móstoles,1,1
1.564700815,-0.116139364,-0.078309386,-0.138875047,-0.948227161,Murcia,1,1
1.329527839,0.176052759,0.738658617,0.10231215,-0.644213591,Palma de Mallorca,1,1
0.102064452,-0.722672653,0.633386512,-0.073824688,0.017424055,Santander,1,1
1.69038831,-0.219611455,2.043193337,-0.188930068,0.872448727,Sevilla,1,1
-0.207635596,-1.028227342,1.785576241,-0.410160035,-0.417889667,Tarragona,1,1
1.651624864,0.77475963,-0.837797468,0.181438537,1.245654865,,1,1
0.685674469,-1.640735949,0.124317908,-0.486422856,0.527706289,Valencia,1,1
1.473233538,-1.292155965,-0.438391275,0.341037766,0.670615986,Zamora,1,1
-0.168569636,0.605278766,-1.886506714,0.60453365,-1.851174074,Algeciras,2,2
0.251162678,-0.834307976,-2.265347485,0.418463046,-2.195076763,Badajoz,2,2
0.841893997,0.681933058,-0.510655726,-1.072249275,-1.14233026,Cartagena,2,2
1.143446353,-0.57726947,-1.709654934,1.437594903,-1.695355395,Córdoba,2,2
0.030136512,-0.066028354,-1.056693366,-0.82377353,-1.163512968,Dos Hermanas,2,2
0.602672464,-0.562903053,-1.26567382,0.261912915,-1.436917383,Elche/Elx,2,2
0.417936462,-1.429745154,-1.667880808,0.2350663,-1.538980059,Marbella,2,2
-0.058780754,1.013597608,-1.978408884,1.796125487,-1.840133888,Ourense,2,2
-0.845927777,0.287954761,-0.697168412,-0.513911651,-0.966029478,Pontevedra,2,2
0.442652561,1.351199193,-1.297786764,2.577704859,-1.470890406,San Cristóbal de La Laguna,2,2
1.146653309,0.60138923,-1.339277639,-0.51838719,-1.44038743,Valladolid,2,2
0.055979974,-1.244664664,0.053471885,0.041664024,1.185869176,Alcalá de Henares,3,3
-0.494557214,-1.389488567,-0.026552558,0.050737881,1.305854555,Alcorcón,3,3
-0.034875546,-1.779966066,-1.515263763,-0.075830464,1.233666912,Burgos,3,3
-0.892235339,0.639092522,-0.921592124,0.646021642,2.370173799,Cádiz,3,3
-0.041634411,-0.725853107,-1.285947333,-0.463765956,1.587381694,Fuenlabrada,3,3
0.030298339,-0.312892229,-0.393815181,-0.146903456,0.482171414,Getafe,3,3
0.155430809,0.947072416,-1.26411461,0.284890934,1.897116786,"Hospitalet de Llobregat, L'",3,3
-0.305287112,-0.314262737,0.368635148,-0.598295152,0.825075188,León,3,3
-0.286489971,-0.695945677,0.129908792,0.097535283,0.621249546,Lleida,3,3
-0.415976158,-1.251752346,-0.604131236,0.670317804,1.842731458,Logroño,3,3
0.179908154,-0.625488738,-0.707355922,0.144312412,0.583807183,Oviedo,3,3
-0.233365554,-0.307908356,-0.104418869,-0.251776563,1.474690838,Salamanca,3,3
-0.924939125,2.223989285,-1.116667738,-0.87089011,0.371338033,Santa Coloma de Gramenet,3,3
0.513391921,1.357888654,0.128880569,0.302409077,-0.740062152,Almería,4,4
0.285975769,1.757914146,0.664145684,0.433419641,0.307079629,Badalona,4,4
-0.534421218,0.59871871,0.369645301,1.614340834,-0.572584435,Girona,4,4
