Código INE,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
2002,Albacete ( municipio sin especificar),Albacete,Castilla-La Mancha,,,,,4.0,0.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2032,Elche de la Sierra,Albacete,Castilla-La Mancha,3520.0,1747.0,1773.0,,1378.0,1003.0,2381.0,,421.0,223.0,1799.0,306.0,408.0,3283.0,49.0,88.0,102.0,421.0,66.0,9.0,4.0,170.0,118.0,40.0,23.0,1651.0,882.0,376.0,166.0,224.0,105.0,36.0,22.0,381.0,168.0,44.0,15.0,,14.332010135135135,18.077814726840856,12.181117647058823,13.356995760145367,14.871651785714286,15.469448818897638,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.0,60.0,11.0,3.0,1.0,,,,1.0,3.0,,,2.0,,,0.0
3003,Alicante/Alacant ( municipio sin especificar),Alicante/Alacant,Comunitat Valenciana,,,,,2.0,1.0,3.0,,0.0,2.0,6.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,13.145,,,11.73,,12.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3009,Alcalalí,Alicante/Alacant,Comunitat Valenciana,1302.0,653.0,649.0,,478.0,351.0,829.0,,72.0,122.0,961.0,80.0,101.0,1365.0,20.0,108.0,34.0,71.0,23.0,6.0,3.0,90.0,62.0,35.0,24.0,802.0,524.0,307.0,166.0,57.0,26.0,12.0,7.0,87.0,33.0,10.0,5.0,,12.106079295154185,16.73830985915493,10.806222222222223,11.222032418952619,13.992456140350876,15.675402298850575,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
4004,Almeria ( municipio sin especificar),Almería,Andalucía,,,,,2.0,0.0,2.0,,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5008,Avila ( municipio sin especificar),Ávila,Castilla y León,,,,,3.0,1.0,4.0,,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
6006,Badajoz ( municipio sin especificar),Badajoz,Extremadura,,,,,5.0,0.0,5.0,,0.0,1.0,6.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
6057,Fuenlabrada de los Montes,Badajoz,Extremadura,1811.0,891.0,920.0,,656.0,360.0,1016.0,,55.0,52.0,781.0,328.0,591.0,1914.0,24.0,61.0,173.0,51.0,8.0,1.0,0.0,46.0,29.0,8.0,4.0,675.0,365.0,135.0,63.0,229.0,91.0,19.0,9.0,521.0,257.0,97.0,47.0,,14.362617283950618,18.708235294117646,13.015652173913043,13.567037037037037,16.04524017467249,14.527696737044145,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,13.0,,,,,,,,,,1.0,1.0,1.0,,0.0
6076,Jerez de los Caballeros,Badajoz,Extremadura,9196.0,4521.0,4675.0,,3516.0,2447.0,5963.0,,521.0,516.0,5868.0,531.0,633.0,8444.0,100.0,353.0,249.0,413.0,107.0,16.0,11.0,417.0,354.0,153.0,85.0,5221.0,3119.0,1348.0,570.0,408.0,218.0,92.0,33.0,539.0,270.0,71.0,40.0,,13.060020522643317,17.467602905569006,10.05095923261391,12.780061290940433,13.931127450980393,14.266289424860853,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,,27.0,89.0,,,,1.0,,,10.0,,,11.0,4.0,1.0,,0.0
6145,Valencia de las Torres,Badajoz,Extremadura,540.0,284.0,256.0,,241.0,127.0,368.0,,47.0,36.0,423.0,39.0,51.0,631.0,6.0,17.0,25.0,45.0,10.0,0.0,0.0,30.0,23.0,13.0,8.0,337.0,178.0,68.0,28.0,27.0,14.0,4.0,3.0,41.0,13.0,2.0,1.0,,14.04130859375,17.712444444444444,10.011333333333333,13.624154302670624,14.638148148148149,16.02829268292683,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
