,ciudades,ciudades,COM,ED_SING,EQUIP_EDU,EQUIP_OTR,EQUIP_SANI,HOS_REST,IND,IND_MX,OCIO_ESP,OFI,RES_PLU,RES_PLU_MX,RES_UNI,RES_UNI_MX,SIN_EDIF
0,Albacete,Albacete,0.039358540118138996,0.07756653532816264,0.10288312737111657,0.2667872001349092,0.05877875526565682,0.09214202744347318,0.5562228394620589,0.36869404120046917,0.05799069881960659,0.07940810611743597,0.278548493881628,0.23293422324363888,0.5966714764104081,0.02936857237637117,0.4352739872430777
1,Alcala,Alcala,0.2163630353401701,0.12531368999624176,0.1702873124801382,0.4887541475367947,0.08637228357182576,0.10640995319349864,0.6744591171239602,0.7330168173070241,0.07295745149108819,0.3065073442017769,0.2819707242648152,0.09443165159269645,0.14342936525793448,0.010802432076412743,0.47378749234739054
2,Alcobendas,Alcobendas,0.06088474847880487,0.08878927939885539,0.08509731848149395,0.34518585564691784,0.003483773593025038,0.03819140265957295,0.0,0.24116569058528128,0.007634527793370158,0.6002255888791737,0.24819128650080605,0.0,0.49826221679678234,0.06069583963608906,0.8495801142893606
3,Alcorcon,Alcorcon,0.25315006379721616,0.07032588888977388,0.24681976243446713,0.9117281755506841,0.17889311680189646,0.03363290307090824,0.26973782655834,0.4708958285201046,0.035212663181043644,0.037347955892673604,0.46837648451553276,0.20032043460386606,0.11955289529489925,0.0036739200479914743,0.5792592623827655
4,Algeciras.shp,Algeciras.shp,0.10361191289514644,0.015186373557820857,0.05637978610411773,0.2500156379267816,0.04340526930804671,0.08455380560734266,0.14858690854207096,0.10532340836150629,0.03897418223772598,0.027443314927528616,0.11429486660006963,0.055518480739560006,0.6775393013225822,0.10784893995074028,0.8741050495872678
5,Alicante,Alicante,0.15172846932757172,0.03239934237668804,0.0922797053965884,0.25523871161376976,0.054332034556855535,0.09668038379007245,0.29227490347544866,0.20934299988544647,0.9999999999999999,0.05422133474206954,0.3349447001035527,0.5014923573467639,0.6315691105466477,0.0685478519450979,0.47773276450794705
6,Almeria,Almeria,0.14220305925975874,0.06448943866253147,0.12605868031921666,0.48113306528679545,0.25574840842813557,0.15437950988657714,0.11275986927800496,0.05788056490698951,0.029055606177578082,0.1120945248528999,0.41091634436852204,0.31329838632751755,0.5136684912576069,0.05717796418806923,0.6052201517271665
7,Avila,Avila,0.01135366494509836,0.009284985858543099,1.0,0.0,0.034398450401897256,0.015440936902113697,0.059571258651304276,0.2820350654254571,0.008252633578282835,0.09547723781278014,0.1776457194602022,0.14821183528144766,0.3404990776865868,0.06820851464918448,0.593434338367764
8,Badajoz,Badajoz,0.17717176574990784,0.019553710136250485,0.09544316404489232,0.2534078783813509,0.07437565247862889,0.027764189783936903,0.11536522459186033,0.07108927782593766,0.0032913663753790703,0.054418105809959316,0.15477405957371884,0.1277225504032939,1.0,0.30480109400679617,0.4286893494137651
9,Badalona,Badalona,0.19278904105252737,0.10693102039104285,0.13334786453875716,0.5112373420514096,0.09810761724202968,0.016802046303082255,0.4935974299889203,0.3460292810479594,0.05950783471109194,0.07260573113548607,0.6773871446509449,0.4682362526329452,0.3306809401275418,0.049291804463163405,0.26972339387768324
10,Barcelona,Barcelona,0.25007169794881523,0.05116475815230226,0.1464895391873068,0.4722635986737138,0.11839733466904215,0.22517407597294067,0.26811127697054904,0.11867251562550761,0.4299338542359176,0.45218330708766624,0.6787586283934559,0.9066595451005969,0.13445847668800393,0.06822337497786098,0.4575687561763045
11,Burgos,Burgos,0.07807137766555623,0.08024724117153842,0.08812780573462703,0.16864082394320376,0.24992758056063774,0.016525171433828104,0.5981330075422145,1.0,0.04888051785305787,0.0030551517303152864,0.2029607156082194,0.15634629460757457,0.11103504686109243,0.018610717198444673,0.6582846603786883
12,Caceres,Caceres,0.031735364259206214,0.05767734577156958,0.18524486131531964,0.42374673238058713,0.1054114711262448,0.21207959884444283,0.2898196124240535,0.5493485306579837,0.012637339862873248,0.04751663189152332,0.2605022776475898,0.16763534327363322,0.4331131951213448,0.05236328662950878,0.565713433287474
13,Cadiz,Cadiz,0.14171483422315506,0.11593282050219109,0.24033122285617037,0.2899553762746897,0.05431949375339741,0.2136828122995705,0.3414084688161968,0.4008696059935966,0.21401516171275609,0.21118403630219865,0.9039316704275128,0.6409465613035357,0.001899890310510112,0.02075734830243616,0.40417865177938544
14,Cartagena,Cartagena,0.1473407186764839,0.03627581368098506,0.041431419917260945,0.3252863727116321,0.066794834069212,0.10469919428668978,0.12586664385403487,0.3496139008198794,0.13928168754593012,0.000661161552515506,0.1706912086231644,0.1636483578433541,0.48936901120639026,0.1118412868694569,0.8311781519049466
15,Castello,Castello,0.15594233065136553,0.10879267328942382,0.07766356713899719,0.2811491601436047,0.07663766156757698,0.07914174577436293,0.20319609997162252,0.3828180330098237,0.07659531318435914,0.0042179159019197394,0.3606641870631697,0.22846764970140981,0.2853530913037269,0.046297735585824874,0.770568510085859
16,Ceuta,Ceuta,0.09205108086751725,0.19937006242295927,0.07670657283680427,0.11948191092263599,0.20586882651322316,0.26560057446284235,0.1637580843668449,0.33096955679360684,0.12954634657584216,0.07358125646519698,0.28964520313285647,0.18513771691263536,0.36999855282656036,0.08152302432009069,0.640515543802588
17,Ciudad,Ciudad,0.06045260280615794,0.03338815998071544,0.17692260321661105,0.8187549805749239,0.39668118068031455,0.07360726047912783,0.0852216850002612,0.18620680141436577,0.10562331243911989,0.20934192427080672,0.3705445588697913,0.43633342024710475,0.4123061588083861,0.0199702870868381,0.5438212420380442
18,Cordoba,Cordoba,0.06532920370505974,0.044457100532166484,0.11616054066072135,0.13867306769103832,0.03135417605413804,0.17389454831151155,0.32931700494608385,0.37273651735558627,0.026510242633749556,0.0405819749212977,0.20846150794468163,0.17825487013681668,0.9592695287666413,0.1842715248263944,0.26823588976930496
19,Corunia,Corunia,0.10987458498784337,0.06346466468001549,0.10811651169739214,0.6565647891567166,0.14266796017853703,0.020266993904678142,0.2753152664815099,0.28957039898780973,0.31541510741919704,0.10143443871757633,0.2996268926544615,0.4065052079094389,0.23957630104272343,0.05272519824347788,0.6921196233561862
