,Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI
0,Albacete,1605.293355,2.929497,0.116461,2.976411,0.03152,8.380829,36.057566,5.710261,8,0.498351,0.723601,0.755052,1.40671,0.745706,0.862917,0.676484,0.0,13784,0.998146,539.338537,29764.113752,1.036782,1.239875,1.196013,0.251356,0.242674,1.071821,1.06197,0.523948,0.500157,9.879637
1,Alcalá de Henares,1615.304126,2.451039,0.136451,4.559123,0.019854,7.591469,55.583827,4.874116,8,0.495263,0.76967,0.746116,1.370878,0.771443,0.852704,0.659253,0.0,11838,0.997178,354.3015,45591.230289,1.025171,1.293679,1.267219,0.325155,0.328765,1.095561,1.092224,0.575723,0.578704,11.52813
2,Alcorcón,787.044792,3.295528,0.161214,3.023467,0.028205,9.644223,43.879007,6.0778,8,1.016461,0.714969,0.757634,1.417307,0.751111,0.865868,0.681581,0.0,4882,0.996158,260.312025,30234.669062,1.029029,1.248374,1.223028,0.262249,0.25072,1.068275,1.070708,0.539567,0.536001,8.229806
3,Algeciras,1063.319019,2.044908,0.0633,2.629819,0.013341,5.460983,38.065313,3.687046,8,0.752361,1.209382,0.625019,0.98088,0.626374,0.714308,0.471704,0.0,16798,0.997527,404.331644,26298.189493,1.048912,1.259996,1.214451,0.404055,0.386923,1.091095,1.080717,0.539164,0.521263,10.820873
4,Almería,1221.025597,2.647566,0.047095,3.179176,0.011569,4.981105,39.172147,3.608059,8,0.655187,0.713636,0.759126,1.42348,0.76275,0.867572,0.684549,0.0,25927,0.997396,384.069792,31791.763422,1.027705,1.267989,1.232491,0.416482,0.413503,1.097109,1.084962,0.555736,0.542673,10.81042
5,Ávila,1221.025597,2.647566,0.047095,3.179176,0.011569,4.981105,39.172147,3.608059,8,1.096773,0.664081,0.780506,1.516428,0.780474,0.892006,0.729248,0.0,7089,0.991158,113.102202,64491.480778,1.034888,1.25529,1.2124,0.321635,0.302125,1.082146,1.071951,0.538745,0.519508,10.374722
6,Badajoz,2459.10219,2.496544,0.117638,3.88053,0.017477,7.522677,39.867536,4.287598,8,0.325322,1.675347,0.54112,0.778966,0.551175,0.618423,0.374603,0.0,20904,0.998422,633.702638,38805.301458,1.008527,1.263527,1.219802,0.33739,0.338322,1.087256,1.074434,0.550015,0.535521,9.110097
7,Badalona,681.177151,4.079243,0.045908,2.010601,0.014343,5.476681,28.199631,4.179474,8,1.174438,0.667509,0.779475,1.511744,0.777582,0.890829,0.726995,0.0,14838,0.997048,338.792854,20106.007068,1.046864,1.336913,1.302643,0.388141,0.412724,1.108151,1.104945,0.622964,0.636074,14.459889
8,Barcelona,4436.370992,1.165791,0.063782,4.135431,0.024406,6.204639,41.995155,5.018938,8,0.180328,0.830052,0.726807,1.297576,0.76185,0.830636,0.624002,0.0,69555,0.999068,1072.771035,41354.313703,1.053047,1.294586,1.247781,0.314192,0.289829,1.093063,1.080488,0.571572,0.56994,17.034972
9,Burgos,1736.579705,2.081176,0.18573,5.610663,0.030097,8.833211,58.938853,5.566782,8,0.460676,1.032058,0.668666,1.104628,0.667596,0.764189,0.531214,0.0,9350,0.996769,309.514149,56106.633933,1.041695,1.256064,1.222159,0.285839,0.251415,1.078412,1.069578,0.548882,0.53238,8.134834
