,TE,ED
Albacete.txt,1546155.784276,963.160895
Alcala.txt,1220331.825882,755.481155
Alcobendas.txt,848092.229547,611.622769
Alcorcon.txt,606523.618159,770.634181
Algeciras.txt,1289373.115272,1212.592920
Alicante.txt,2347700.916589,887.850343
Almeria.txt,1748123.033690,1431.684183
Avila.txt,693473.448909,950.728315
Badajoz.txt,2143663.887942,871.726233
Badalona.txt,1118574.663242,1642.120059
Barcelona.txt,6127182.411440,1381.124893
Burgos.txt,1126346.242346,648.600372
Caceres.txt,981162.648584,976.996601
Cadiz.txt,448626.601855,1293.195426
Cartagena.txt,3142335.059158,1238.098856
Castellon.txt,1235147.244753,1159.119744
Ceuta.txt,456502.503688,1305.554445
Ciudad Real.txt,669910.425799,1163.247912
Cordoba.txt,3794441.746702,974.715996
Corunia.txt,1298866.822918,1138.044264
Cuenca.txt,523593.176500,1094.686968
Dos Hermanas.txt,1983809.302050,1030.078898
Elche.txt,1935341.469081,974.216570
Fuenlabrada.txt,942800.897267,955.329489
Getafe.txt,1292087.671823,968.936412
Gijon.txt,1742175.233989,841.164548
Girona.txt,882978.167136,1299.004563
Granada.txt,1540392.447900,1103.618528
Guadalajara.txt,742005.591548,941.611125
Hospitalet.txt,857621.577880,1362.739893
Huelva.txt,799234.622952,1104.263799
Huesca.txt,424146.746118,1092.373852
Jaen.txt,964115.249321,1298.269037
Jerez.txt,2336904.637459,1070.510535
Leganes.txt,903347.582575,759.492389
Leon.txt,934193.825498,993.403570
Lleida.txt,932638.844656,912.768624
Logronio.txt,706098.217786,828.722357
Lugo.txt,915007.732338,1422.769391
Madrid.txt,12057792.361000,874.818229
Malaga.txt,3989460.882344,1154.358797
Mallorca.txt,3460655.325921,1174.387742
Marbella.txt,2526590.194562,797.351603
Mataro.txt,920497.120910,1548.449948
Melilla.txt,542851.884881,1353.728142
Mostoles.txt,866535.292144,982.049118
Murcia.txt,5086644.201038,1199.352739
Ourense.txt,1541938.731119,1437.293109
Oviedo.txt,950174.949443,968.077156
Palencia.txt,602511.989693,964.551441
Palmas.txt,2516826.563477,1596.327205
Parla.txt,578738.911692,913.972031
Pontevedra.txt,753826.094118,1246.496848
Sabadell.txt,1910152.830028,1752.323712
Salamanca.txt,882897.217020,997.469367
San Cristobal.txt,2160385.800066,1502.307561
Santa Coloma.txt,510347.083212,1849.493832
Santa Cruz.txt,1496086.986756,1470.466672
Santander.txt,1161190.899415,954.467901
Segovia.txt,549244.421260,996.819737
Sevilla.txt,4097269.578568,1098.253798
Soria.txt,374902.585501,986.752016
Terragona.txt,1138688.584989,867.181667
Terrasa.txt,2090006.007884,1667.002438
Teruel.txt,566438.277002,1089.319082
Toledo.txt,946247.626949,556.728411
Torrejon.txt,655656.744516,327.216887
Valencia.txt,2864155.962803,1323.415332
Valladolid.txt,1873658.812874,677.709566
Vigo.txt,3592622.037511,1343.702893
Zamora.txt,622534.684010,1128.232320
Zaragoza.txt,3250830.303820,776.105759
