,NP,DIVISION,SPLIT,MESH
Albacete.txt,13784,0.998146,539.338537,29764.113752
Alcala.txt,11838,0.997178,354.301500,45591.230289
Alcobendas.txt,4791,0.997228,360.738228,38438.574331
Alcorcon.txt,4882,0.996158,260.312025,30234.669062
Algeciras.txt,16798,0.997527,404.331644,26298.189493
Alicante.txt,19828,0.998949,951.527179,27789.568588
Almeria.txt,25927,0.997396,384.069792,31791.763422
Avila.txt,7089,0.991158,113.102202,64491.480778
Badalona.txt,14838,0.997048,338.792854,20106.007068
Barcelona.txt,69555,0.999068,1072.771035,41354.313703
Bodajoz.txt,20904,0.998422,633.702638,38805.301458
Burgos.txt,9350,0.996769,309.514149,56106.633933
Caceres.txt,11413,0.984475,64.411039,155914.909282
Cadiz.txt,4998,0.996097,256.191456,13541.170927
Cartagena.txt,41052,0.995204,208.506366,121724.457749
Castello.txt,14699,0.992952,141.879403,75105.385099
ceuta.txt,6816,0.993496,153.759147,22740.877313
Ciudad_real.txt,7202,0.992569,134.573939,42794.059958
Cordoba.txt,34551,0.999299,1425.579338,27307.277547
Corunia.txt,14503,0.997335,375.208183,30418.176007
Cuenca.txt,6426,0.996383,276.482083,17299.638907
dos_hermanas.txt,23546,0.995341,214.628729,89730.807870
Elche.txt,17855,0.998199,555.095863,35787.725681
FuenteLabra.txt,7987,0.995503,222.375662,44379.208189
Getafe.txt,14755,0.996697,302.737816,44048.389369
Gijon.txt,14615,0.996262,267.501224,77425.693226
Girona.txt,9406,0.998359,609.466839,11152.935948
Granada.txt,19125,0.996596,293.733857,47518.025847
Guadalajara.txt,7516,0.996161,260.502719,30249.857761
Hospitalet.txt,10485,0.996065,254.110685,24766.224387
Huelva.txt,9937,0.988699,88.488862,81792.380158
Huesca.txt,3847,0.996258,267.232724,14529.651729
Jaen.txt,12873,0.996318,271.621896,27340.060775
Jerez.txt,27839,0.995784,237.192296,92034.247398
Mallorca.txt,37900,0.998696,766.602228,20566.542946
Leganes.txt,8303,0.982034,55.661289,213687.048059
Leon.txt,10009,0.994554,183.625222,51212.849740
LLeida.txt,9098,0.996503,285.963493,35730.755895
Logronio.txt,5382,0.997344,376.517135,22629.310149
Lugo.txt,9660,0.997613,419.017367,15348.227473
Madrid.txt,123098,0.998446,643.361666,214237.156863
Malaga.txt,46248,0.999177,1215.723799,28427.487385
Marbella.txt,17778,0.998290,584.782661,54186.418585
Mataro.txt,11556,0.995858,241.415842,24624.050731
Melilla.txt,9591,0.991479,117.355920,34169.993073
Mostoles.txt,8032,0.994785,191.749053,46017.160609
Murcia.txt,57688,0.998245,569.772079,74436.040974
Ourense.txt,16916,0.998782,821.333532,13061.775646
Oviedo.txt,8462,0.996951,327.930774,29930.324858
Palencia.txt,6037,0.994065,168.496219,37072.351864
Palmas.txt,35101,0.998327,597.711104,49300.975579
Parla.txt,6540,0.956250,22.857169,277030.338476
Pontevedra.txt,7077,0.994338,176.624410,34239.645478
Sabadell.txt,25177,0.998559,694.074811,15705.345506
Salamanca.txt,9409,0.995427,218.654554,40481.076586
Santander.txt,9887,0.996752,307.904062,39511.805744
Santa_Coloma.txt,6653,0.989299,93.451637,29527.442619
Santa_Cruz_Tenerife.txt,21167,0.999013,1012.747587,10046.168137
San_Cristobal.txt,27223,0.999291,1411.271008,10189.715099
Segovia.txt,5383,0.994846,194.011864,28400.156816
Sevilla.txt,57878,0.997208,358.230217,104142.886031
Soria.txt,3438,0.993995,166.535215,22814.151995
Terragona.txt,9514,0.994988,199.540585,65805.718831
Terrasa.txt,25503,0.998958,959.690368,13064.120080
Teruel.txt,5943,0.995241,210.117254,24747.752544
Toledo.txt,7809,0.979523,48.834958,348041.155999
Torrejon.txt,5909,0.551611,2.230206,8984539.673042
Valencia.txt,33239,0.997918,480.279041,45061.626807
Valladolid.txt,16196,0.996386,276.687811,99921.021956
Vigo.txt,34770,0.997138,349.362521,76530.044225
Zamora.txt,7338,0.987969,83.120135,66383.290416
Zaragoza.txt,28251,0.998467,652.408945,64202.728706
