,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI,index
0,8,0.498351,0.723601,0.755052,1.406710,0.745706,0.862917,0.676484,0.000000,Albacete.txt
1,8,0.495263,0.769670,0.746116,1.370878,0.771443,0.852704,0.659253,0.000000,Alcala.txt
2,8,0.495263,0.769670,0.746116,1.370878,0.771443,0.852704,0.659253,0.000000,Alcobendas.txt
3,8,1.016461,0.714969,0.757634,1.417307,0.751111,0.865868,0.681581,0.000000,Alcorcon.txt
4,8,0.752361,1.209382,0.625019,0.980880,0.626374,0.714308,0.471704,0.000000,Algeciras.txt
5,8,0.302543,0.758450,0.742545,1.356912,0.741693,0.848623,0.652537,0.000000,Alicante.txt
6,8,0.655187,0.713636,0.759126,1.423480,0.762750,0.867572,0.684549,0.000000,Almeria.txt
7,9,0.747920,7.128600,0.216069,0.243434,0.236178,0.243077,0.110792,0.000000,Avila.txt
8,8,0.325322,1.675347,0.541120,0.778966,0.551175,0.618423,0.374603,0.000000,Badajoz.txt
9,8,1.174438,0.667509,0.779475,1.511744,0.777582,0.890829,0.726995,0.000000,Badalona.txt
10,8,0.180328,0.830052,0.726807,1.297576,0.761850,0.830636,0.624002,0.000000,Barcelona.txt
11,8,0.460676,1.032058,0.668666,1.104628,0.667596,0.764189,0.531214,0.000000,Burgos.txt
12,8,0.796603,0.676864,0.773811,1.486385,0.767844,0.884356,0.714800,0.000000,Caceres.txt
13,8,2.306052,0.847446,0.713180,1.248899,0.710609,0.815062,0.600593,0.000000,Cadiz.txt
14,8,0.315205,0.790186,0.734601,1.326523,0.733105,0.839545,0.637923,0.000000,Cartagena.txt
15,8,0.750757,0.629566,0.796432,1.591756,0.803526,0.910208,0.765473,0.000000,Castella.txt
16,8,2.287925,0.620345,0.801459,1.616759,0.821489,0.915953,0.777497,0.000000,Ceuta.txt
17,8,1.389138,0.713925,0.756267,1.411683,0.744301,0.864305,0.678876,0.000000,Ciudad_real.txt
18,8,0.205504,1.082266,0.651208,1.053279,0.645673,0.744237,0.506520,0.000000,Cordoba.txt
19,8,0.700946,0.645963,0.787801,1.550230,0.793153,0.900344,0.745503,0.000000,Corunia.txt
20,8,1.672576,0.638837,0.792325,1.571782,0.805076,0.905514,0.755867,0.000000,Cuenca.txt
21,8,0.415394,0.835171,0.713537,1.250146,0.692011,0.815471,0.601193,0.000000,dos_hermanas.txt
22,8,0.402706,0.918435,0.693897,1.183835,0.683827,0.793026,0.569304,0.000000,Elche.txt
23,8,0.810631,0.937728,0.687368,1.162728,0.687395,0.785563,0.559154,0.000000,Fuenlabrada.txt
24,8,0.599920,0.791764,0.737726,1.338367,0.741321,0.843116,0.643618,0.000000,Getafe.txt
25,8,0.386259,0.771771,0.735261,1.329011,0.708071,0.840298,0.639119,0.000000,Gijon.txt
26,8,1.176930,0.685813,0.769897,1.469227,0.768239,0.879882,0.706549,0.000000,Girona.txt
27,8,0.573162,0.667978,0.778922,1.509238,0.789183,0.890196,0.725790,0.000000,Granada.txt
28,8,1.015207,0.677647,0.775695,1.494749,0.789900,0.886509,0.718822,0.000000,Guadalajara.txt
