,Ciudades
0,Albacete
1,Alcalá de Henares
2,Alcobendas
3,Alcorcón
4,Algeciras
5,Alicante/Alacant
6,Almería
7,Ávila
8,Badajoz
9,Badalona
10,Barcelona
11,Burgos
12,Cáceres
13,Cádiz
14,Cartagena
15,Castelló de la Plana
16,Ceuta
17,Ciudad Real
18,Córdoba
19,"Coruña, A"
20,Cuenca
21,Dos Hermanas
22,Elche/Elx
23,Fuenlabrada
24,Getafe
25,Gijón
26,Girona
27,Granada
28,Guadalajara
29,"Hospitalet de Llobregat, L'"
30,Huelva
31,Huesca
32,Jaén
33,Jerez de la Frontera
34,"Palmas de Gran Canaria, Las"
35,Leganés
36,León
37,Lleida
38,Logroño
39,Lugo
40,Madrid
41,Málaga
42,Marbella
43,Mataró
44,Melilla
45,Móstoles
46,Murcia
47,Ourense
48,Oviedo
49,Palencia
50,Palma de Mallorca
51,Parla
52,Pontevedra
53,Sabadell
54,Salamanca
55,San Cristóbal de La Laguna
56,Santa Coloma de Gramenet
57,Santa Cruz de Tenerife
58,Santander
59,Segovia
60,Sevilla
61,Soria
62,Tarragona
63,Terrassa
64,Teruel
65,Toledo
67,Valencia
68,Valladolid
69,Vigo
70,Zamora
71,Zaragoza
