Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
27001  Abadín,"1,655",984,294,377,0,,,,,
48001  Abadiño,"2,979","2,695",137,146,1,,,,,
30001  Abanilla,"4,341","2,519",576,"1,243",3,,,,,
48002  Abanto y Ciérvana-Abanto Zierbena,"4,439","3,932",143,363,1,,,,,
30002  Abarán,"6,619","4,654",744,"1,220",1,,,,,
15001  Abegondo,"3,085","1,936",704,445,0,,,,,
31006  Ablitas,"1,473","1,011",174,288,0,,,,,
08001  Abrera,"5,223","4,450",503,269,1,,,,,
06002  Aceuchal,"2,510","2,053",158,297,1,,,,,
14001  Adamuz,"2,000","1,464",329,207,0,,,,,
38001  Adeje,"23,715","18,462","3,599","1,652",2,,,,,
04003  Adra,"11,836","8,201",580,"3,054",1,,,,,
"05002  Adrada, La","4,009","1,054","2,615",340,0,,,,,
35001  Agaete,"3,124","2,230",572,321,1,,,,,
36020  Agolada,"1,724","1,044",448,232,0,,,,,
03002  Agost,"2,801","1,703",754,344,0,,,,,
25003  Agramunt,"2,831","2,040",118,671,2,,,,,
42004  Ágreda,"2,078","1,166",609,300,3,,,,,
41001  Aguadulce,"1,116",855,124,137,0,,,,,
34004  Aguilar de Campoo,"4,251","2,990",778,480,3,,,,,
14002  Aguilar de la Frontera,"6,726","5,145",459,"1,121",1,,,,,
30003  Águilas,"21,390","12,089","3,494","5,801",5,,,,,
35002  Agüimes,"13,977","10,655","1,570","1,750",2,,,,,
46004  Agullent,"1,367",942,342,82,1,,,,,
20016  Aia,889,745,122,21,1,,,,,
46042  Aielo de Malferit,"2,162","1,706",122,334,0,,,,,
08014  Aiguafreda,"1,340",930,18,390,2,,,,,
22907  Aínsa-Sobrarbe,"1,196",863,243,84,6,,,,,
25038  Aitona,"1,071",832,129,108,2,,,,,
28002  Ajalvir,"1,565","1,533",8,23,1,,,,,
45001  Ajofrín,"1,135",802,111,220,2,,,,,
50008  Alagón,"3,393","2,670",151,569,3,,,,,
07002  Alaior,"5,409","3,729",653,"1,026",1,,,,,
38003  Alajeró,"1,647",735,674,236,2,,,,,
29001  Alameda,"2,382","2,003",82,286,11,,,,,
