,Ciudad,COD
0,Albacete,02005
1,Alcalá de Henares,28039
2,Alcobendas,28040
3,Alcorcón,28041
4,Algeciras,11021
5,Alicante/Alacant,03017
6,Almería,04017
7,Ávila,05025
8,Badalona,08029
9,Barcelona,08033
10,Badajoz,06021
11,Burgos,09075
12,Cáceres,10053
13,Cádiz,11029
14,Cartagena,31007
15,Castelló de la Plana,12060
16,Ceuta,51001
17,Ciudad Real,13053
18,Córdoba,14041
19,"Coruña, A",15051
20,Cuenca,16102
21,Dos Hermanas,41094
22,Elche/Elx,03068
23,Fuenlabrada,28094
24,Getafe,28102
25,Gijón,33063
26,Girona,17102
27,Granada,18117
28,Guadalajara,19162
29,"Hospitalet de Llobregat, L'",08115
30,Huelva,21068
31,Huesca,22167
32,Jaén,23081
33,Jerez de la Frontera,11037
34,"Palmas de Gran Canaria, Las",36025
35,Leganés,28113
36,León,24120
37,Lleida,25153
38,Logroño,26124
39,Lugo,27062
40,Madrid,28117
41,Málaga,29903
42,Marbella,30001
43,Mataró,08135
44,Melilla,52001
45,Móstoles,28129
46,Murcia,31021
47,Ourense,32092
48,Oviedo,34006
49,Palencia,34171
50,Palma de Mallorca,07047
51,Parla,28141
52,Pontevedra,37022
53,Sabadell,08201
54,Salamanca,37324
55,Santander,40030
56,Santa Coloma de Gramenet,08259
57,Santa Cruz de Tenerife,39033
58,San Cristóbal de La Laguna,39018
59,Segovia,41015
60,Sevilla,42044
61,Soria,43018
62,Tarragona,44022
63,Terrassa,08293
64,Teruel,45014
65,Toledo,46023
66,Torrejón de Ardoz,28182
67,Valencia,47045
68,Valladolid,48018
69,Vigo,37041
70,Zamora,50065
71,Zaragoza,50297
