,,COD Ciudad,COD,Ciudad_renta,Renta neta media por persona 2020
1,X,02003 Albacete,2003, Albacete,12529
2,X,28005 Alcalá de Henares,28005, Alcalá de Henares,13243
3,X,28006 Alcobendas,28006, Alcobendas,18684
4,X,28007 Alcorcón,28007, Alcorcón,13522
5,X,11004 Algeciras,11004, Algeciras,10665
6,,03014 Alacant/Alicante,,Alicante,11676
7,X,04013 Almería,4013, Almería,11233
8,X,05019 Ávila,5019, Ávila,13209
9,X,06015 Badajoz,6015, Badajoz,11775
10,X,08015 Badalona,8015, Badalona,12537
11,X,08019 Barcelona,8019, Barcelona,16750
12,X,09059 Burgos,9059, Burgos,14421
13,X,10037 Cáceres,10037, Cáceres,12815
14,X,11012 Cádiz,11012, Cádiz,12997
15,X,30016 Cartagena,30016, Cartagena,11092
16,X,12040 Castelló de la Plana,12040, Castelló de la Plana,12785
17,X,51001 Ceuta,51001, Ceuta,12358
18,X,13034 Ciudad Real,13034, Ciudad Real,13580
19,X,14021 Córdoba,14021, Córdoba,11791
20,X,"15030 Coruña, A",15030," Coruña, A",14591
21,X,16078 Cuenca,16078, Cuenca,13160
22,X,41038 Dos Hermanas,41038, Dos Hermanas,10994
23,Elche,03065 Elx/Elche,,Elche,9840
24,X,28058 Fuenlabrada,28058, Fuenlabrada,11205
25,X,28065 Getafe,28065, Getafe,13638
26,X,33024 Gijón,33024, Gijón,13842
27,X,17079 Girona,17079, Girona,14750
28,X,18087 Granada,18087, Granada,13251
29,X,19130 Guadalajara,19130, Guadalajara,13514
30,X,"08101 Hospitalet de Llobregat, L'",8101," Hospitalet de Llobregat, L'",11726
31,X,21041 Huelva,21041, Huelva,11310
32,X,22125 Huesca,22125, Huesca,13630
33,X,23050 Jaén,23050, Jaén,12495
34,,Jerez de la Frontera,11020,Jerez de la Frontera,10049
35,X,28074 Leganés,28074, Leganés,12584
36,X,24089 León,24089, León,14434
37,X,25120 Lleida,25120, Lleida,13303
38,X,26089 Logroño,26089, Logroño,13791
39,X,27028 Lugo,27028, Lugo,12992
40,X,28079 Madrid,28079, Madrid,17059
41,X,29067 Málaga,29067, Málaga,11246
42,X,29069 Marbella,29069, Marbella,9993
43,X,08121 Mataró,8121, Mataró,12201
44,X,52001 Melilla,52001, Melilla,11665
45,X,28092 Móstoles,28092, Móstoles,12064
46,X,30030 Murcia,30030, Murcia,11778
47,X,32054 Ourense,32054, Ourense,13037
48,X,33044 Oviedo,33044, Oviedo,14657
49,X,34120 Palencia,34120, Palencia,13662
50,X,"35016 Palmas de Gran Canaria, Las",35016," Palmas de Gran Canaria, Las",12509
,,,7040,Palmas de mallorca,12998
51,X,28106 Parla,28106, Parla,9803
52,X,36038 Pontevedra,36038, Pontevedra,13047
53,X,08187 Sabadell,8187, Sabadell,13520
54,X,37274 Salamanca,37274, Salamanca,13185
55,X,38023 San Cristóbal de La Laguna,38023, San Cristóbal de La Laguna,11481
56,X,08245 Santa Coloma de Gramenet,8245, Santa Coloma de Gramenet,10799
57,X,38038 Santa Cruz de Tenerife,38038, Santa Cruz de Tenerife,12547
58,X,39075 Santander,39075, Santander,14202
59,X,40194 Segovia,40194, Segovia,13441
60,X,41091 Sevilla,41091, Sevilla,12490
61,X,42173 Soria,42173, Soria,14573
62,X,43148 Tarragona,43148, Tarragona,13860
63,X,08279 Terrassa,8279, Terrassa,13243
64,X,44216 Teruel,44216, Teruel,14090
65,X,45168 Toledo,45168, Toledo,14326
66,X,28148 Torrejón de Ardoz,28148, Torrejón de Ardoz,12188
67,,Valencia,46250, València,13873
68,,Valladolid,47186 ,Valladolid,14247
69,,36057 Vigo,36057, Vigo,13164
70,,49275 Zamora,49275, Zamora,12884
71,,50297 Zaragoza,,Zaragoza,14220
