Código INE,,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Parque Vehiculos Total
2005,X,Albacete,Albacete,Castilla-La Mancha,174336,85214,89122,125053
28039,X,Alcalá de Henares,Madrid,Madrid (Comunidad de),197562,96061,101501,124019
28040,X,Alcobendas,Madrid,Madrid (Comunidad de),118417,56554,61863,247035
28041,X,Alcorcón,Madrid,Madrid (Comunidad de),172384,82959,89425,99385
11021,X,Algeciras,Cádiz,Andalucía,123078,60729,62349,90188
3017,X,Alicante/Alacant,Alicante/Alacant,Comunitat Valenciana,337482,163385,174097,235733
4017,X,Almería,Almería,Andalucía,201322,98531,102791,142223
5025,X,Ávila,Ávila,Castilla y León,58369,27784,30585,41695
6021,X,Badajoz,Badajoz,Extremadura,150984,73170,77814,116431
8029,X,Badalona,Barcelona,Cataluña,223166,110018,113148,126321
8033,X,Barcelona,Barcelona,Cataluña,1664182,790708,873474,968655
9075,X,Burgos,Burgos,Castilla y León,176418,83995,92423,107558
10053,X,Cáceres,Cáceres,Extremadura,96255,46104,50151,73858
11029,X,Cádiz,Cádiz,Andalucía,115439,54580,60859,70672
31007,X,Cartagena,Murcia,Murcia (Región de),216108,107478,108630,159993
12060,X,Castelló de la Plana,Castellón/Castelló,Comunitat Valenciana,174264,84319,89945,128463
51001,X,Ceuta,Ceuta,Ceuta,84202,42542,41660,67589
13053,X,Ciudad Real,Ciudad Real,Castilla-La Mancha,75504,35773,39731,48679
14041,X,Córdoba,Córdoba,Andalucía,326039,156523,169516,225687
15051,X,"Coruña, A",Coruña (A),Galicia,247604,114776,132828,144917
16102,X,Cuenca,Cuenca,Castilla-La Mancha,54621,25956,28665,40587
41094,X,Dos Hermanas,Sevilla,Andalucía,135050,66330,68720,97507
3068,X,Elche/Elx,Alicante/Alacant,Comunitat Valenciana,234765,116386,118379,164532
28094,X,Fuenlabrada,Madrid,Madrid (Comunidad de),194514,95847,98667,122452
28102,X,Getafe,Madrid,Madrid (Comunidad de),185180,90403,94777,107745
33063,X,Gijón,Asturias,Asturias (Principado de),271717,127961,143756,167896
17102,X,Girona,Girona,Cataluña,103369,49809,53560,76071
18117,X,Granada,Granada,Andalucía,233648,107829,125819,173509
19162,X,Guadalajara,Guadalajara,Castilla-La Mancha,87484,42091,45393,57686
8115,X,"Hospitalet de Llobregat, L'",Barcelona,Cataluña,269382,130289,139093,126843
21068,X,Huelva,Huelva,Andalucía,143837,69043,74794,98494
22167,X,Huesca,Huesca,Aragón,53956,25702,28254,36057
23081,X,Jaén,Jaén,Andalucía,112757,54244,58513,82789
11037,X,Jerez de la Frontera,Cádiz,Andalucía,213105,104086,109019,156740
28113,X,Leganés,Madrid,Madrid (Comunidad de),191114,92573,98541,111070
24120,X,León,León,Castilla y León,124028,56191,67837,78774
25153,X,Lleida,Lleida,Cataluña,140403,69541,70862,94148
26124,X,Logroño,Rioja (La),Rioja (La),152485,72341,80144,93436
27062,X,Lugo,Lugo,Galicia,98519,45568,52951,71727
28117,X,Madrid,Madrid,Madrid (Comunidad de),3334730,1553899,1780831,2012707
29903,X,Málaga,Málaga,Andalucía,578460,277789,300671,420160
30001,X,Marbella,Málaga,Andalucía,147633,70833,76800,128691
8135,X,Mataró,Barcelona,Cataluña,129661,64476,65185,82443
52001,X,Melilla,Melilla,Melilla,87076,44162,42914,72353
28129,X,Móstoles,Madrid,Madrid (Comunidad de),210309,102307,108002,127220
31021,X,Murcia,Murcia,Murcia (Región de),459403,224929,234474,358228
32092,X,Ourense,Ourense,Galicia,105643,47891,57752,73491
34006,X,Oviedo,Asturias,Asturias (Principado de),219910,101749,118161,133254
34171,X,Palencia,Palencia,Castilla y León,78144,36875,41269,51281
7047,X,Palma de Mallorca,Balears (Illes),Balears (Illes),422587,206654,215933,360254
36025,X,"Palmas de Gran Canaria, Las",Palmas (Las),Canarias,381223,183905,197318,275061
28141,X,Parla,Madrid,Madrid (Comunidad de),133482,66524,66958,66997
37022,X,Pontevedra,Pontevedra,Galicia,83260,39344,43916,59044
8201,X,Sabadell,Barcelona,Cataluña,216520,105388,111132,139550
37324,X,Salamanca,Salamanca,Castilla y León,144825,65661,79164,79554
39018,X,San Cristóbal de La Laguna,Santa Cruz de Tenerife,Canarias,158911,76703,82208,129699
8259,X,Santa Coloma de Gramenet,Barcelona,Cataluña,120443,59527,60916,57124
39033,X,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Canarias,209194,99840,109354,176209
40030,X,Santander,Cantabria,Cantabria,173375,79936,93439,117011
41015,X,Segovia,Segovia,Castilla y León,52057,24328,27729,36270
42044,X,Sevilla,Sevilla,Andalucía,691395,328013,363382,485440
43018,X,Soria,Soria,Castilla y León,39821,18788,21033,29588
44022,X,Tarragona,Tarragona,Cataluña,136496,66666,69830,94004
8293,X,Terrassa,Barcelona,Cataluña,223627,109948,113679,149620
45014,X,Teruel,Teruel,Aragón,36240,17287,18953,28945
46023,X,Toledo,Toledo,Castilla-La Mancha,85811,40941,44870,60442
28182,X,Torrejón de Ardoz,Madrid,Madrid (Comunidad de),132853,65343,67510,86439
47045,X,Valencia,Valencia/València,Comunitat Valenciana,800215,380293,419922,513747
48018,X,Valladolid,Valladolid,Castilla y León,299265,140247,159018,182319
37041,X,Vigo,Pontevedra,Galicia,296692,140164,156528,215138
50065,X,Zamora,Zamora,Castilla y León,60988,28299,32689,41943
50297,X,Zaragoza,Zaragoza,Aragón,681877,326103,355774,376213
