Código INE,,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
2005,X,Albacete,Albacete,Castilla-La Mancha,174336,85214,89122,,59160,45441,104601,,9030,14389,81856,7549,8488,125053,2222,5179,3112,9018,2162,392,201,11117,8804,4211,2359,73685,45448,22302,12408,5805,3970,2018,1018,7480,3515,1069,558,,12.5186223,17.45707917,10.15344427,12.09481075,11.33404479,14.80197727,,0,2,39,0,4,43,0,6,77,0,1,80,0,1,5,0,0,0,0,0,0,0,0,8,0,8,64,290,0,22,316,,1933,5751,799,182,37,45,58,,302,,94,337,46,33,,0
28039,X,Alcalá de Henares,Madrid,Madrid (Comunidad de),197562,96061,101501,,61487,47037,108524,,2152,7994,99012,6946,5349,124019,1452,6602,2869,2008,544,116,67,6243,4822,2156,1249,88270,60290,31457,16204,5302,3488,1810,888,4557,2310,693,353,,11.3766268,17.04467629,10.55226814,11.14061165,11.5261788,14.33357911,,0,0,8,0,0,8,0,0,23,0,0,44,0,0,0,0,0,0,0,0,4,1,0,3,1,1,28,106,2,1,118,,716,2603,,,,53,35,,71,269,144,21,108,15,,0
28040,X,Alcobendas,Madrid,Madrid (Comunidad de),118417,56554,61863,,35408,28665,64073,,1715,7018,186627,35097,14525,247035,1558,6023,3761,1653,690,298,190,5810,4678,2450,1450,181698,167139,149662,128055,34434,33381,31908,26378,14190,13020,11748,9864,,4.542310074,14.83013914,9.660641997,4.463520237,3.233869722,4.634590557,,0,0,11,0,0,4,0,0,36,0,0,35,0,0,3,0,0,0,0,0,6,0,0,8,1,3,30,123,1,3,133,,803,2371,483,93,19,28,27,36,,38,14,17,40,8,,0
28041,X,Alcorcón,Madrid,Madrid (Comunidad de),172384,82959,89425,,53071,37608,90679,,1469,6341,79879,5267,4372,99385,1238,4464,1900,1389,451,105,63,5229,4166,1949,1138,71711,49841,26196,13277,4087,2881,1561,807,3769,2063,709,410,,11.15958184,16.56509719,10.21316887,11.01512502,10.87785662,13.62559565,,1,0,24,0,0,11,0,0,19,0,0,51,0,0,1,0,0,0,0,0,8,0,0,6,0,0,32,137,1,0,152,,173,518,100,26,8,4,7,1,1,5,7,4,8,2,,0
11021,X,Algeciras,Cádiz,Andalucía,123078,60729,62349,,40050,29711,69761,,6532,10747,61127,3800,4694,90188,2324,7761,3012,6485,1970,549,284,9139,7691,4003,2320,55089,39476,21217,11901,2833,1701,984,495,4099,2080,633,337,,11.1728798,16.36605551,9.277252435,10.56880847,12.10496294,14.31241766,,0,2,3,0,0,18,0,1,33,0,1,45,0,0,4,0,0,0,0,0,0,0,0,5,1,2,35,110,1,6,143,,558,2109,4,1,,40,15,37,91,187,104,11,33,35,,0
3017,X,Alicante/Alacant,Alicante/Alacant,Comunitat Valenciana,337482,163385,174097,,104997,80448,185445,,15646,32515,159336,11301,11695,235733,6937,17382,5912,15496,4591,1338,750,26513,20567,10811,5876,140107,94252,51549,27934,8353,5747,3358,1615,10039,4995,1765,923,,11.53746585,16.67117192,9.997706785,11.08972164,10.78306956,14.24806156,,1,4,1,0,4,2,2,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,30,5,24,6,,8999,24577,6178,1271,341,223,109,,295,1,254,27,120,180,,0
4017,X,Almería,Almería,Andalucía,201322,98531,102791,,65771,48869,114640,,12777,16816,94000,7571,7987,142223,3238,10790,4186,12756,3544,948,547,12723,9879,5267,3042,83388,54505,28374,15610,5285,2991,1550,845,6761,3011,1002,521,,12.13667056,16.60450847,9.923042521,11.48797081,12.72767455,14.93800621,,0,4,16,0,2,32,1,3,64,0,0,86,0,0,2,0,0,1,0,0,1,0,3,17,0,5,61,236,1,17,280,,882,3079,2,1,,28,17,,147,,201,384,76,26,,0
5025,X,Ávila,Ávila,Castilla y León,58369,27784,30585,,20703,16973,37676,,1205,3303,30969,2823,2228,41695,572,1396,904,1193,286,52,34,2486,1937,825,471,27345,17187,8082,4196,2285,1504,747,353,1868,914,238,125,,12.34290595,17.35210394,10.68150442,12.13083745,11.70021444,14.72013383,,0,0,6,0,0,2,0,1,5,1,1,13,0,0,0,0,0,0,0,0,1,0,1,0,1,2,18,42,2,5,45,,637,2001,117,13,4,18,17,,159,,5,242,39,23,,0
6021,X,Badajoz,Badajoz,Extremadura,150984,73170,77814,,53261,40525,93786,,7481,10670,83680,6506,4606,116431,2375,7274,2936,6628,1934,506,329,8480,6618,3189,1860,75945,50155,24189,12101,5163,3173,1569,749,3845,2067,714,377,,11.99150866,16.94787115,10.20730896,11.64198973,12.43564401,13.73358648,,0,0,18,0,0,27,1,4,55,1,1,113,0,0,4,0,0,0,0,0,2,0,1,2,3,5,48,229,5,11,269,,2655,8843,974,172,33,59,50,,136,,766,215,72,178,,0
8029,X,Badalona,Barcelona,Cataluña,223166,110018,113148,,66362,42069,108431,,4916,21022,83567,7236,6785,126321,4112,7168,3281,4907,1514,429,229,17672,14761,8332,4668,70544,50113,28082,15927,4789,3366,1878,872,5593,3343,1177,607,,10.79520864,16.51418993,9.030091105,10.5741068,10.9759407,13.28423029,,0,3,49,0,0,32,3,7,187,0,0,221,0,0,11,0,0,2,0,0,35,0,1,37,1,3,83,523,4,14,657,,650,2512,29,2,1,40,47,2,94,,219,116,60,40,,0
