,Código INE,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
0,01001,Alava ( municipio sin especificar),Araba/Álava,País Vasco,,,,,1.0,0.0,1.0,,0.0,0.0,6.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,14.468333333333334,,,10.38,23.74,21.55,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
1,01002,Alegría-Dulantzi,Araba/Álava,País Vasco,2935.0,1531.0,1404.0,,1038.0,818.0,1856.0,,40.0,189.0,1588.0,139.0,115.0,2147.0,34.0,86.0,61.0,40.0,11.0,1.0,0.0,142.0,103.0,49.0,34.0,1493.0,948.0,513.0,271.0,116.0,79.0,50.0,28.0,108.0,64.0,23.0,8.0,,11.755744789018811,17.42875,10.947605633802818,11.640361687876759,10.64198275862069,13.437314814814815,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
2,01003,Amurrio,Araba/Álava,País Vasco,10264.0,5044.0,5220.0,,3664.0,2660.0,6324.0,,229.0,519.0,5246.0,562.0,463.0,7439.0,126.0,275.0,206.0,228.0,59.0,16.0,13.0,386.0,305.0,137.0,85.0,4893.0,3406.0,1651.0,836.0,450.0,227.0,92.0,46.0,420.0,219.0,63.0,32.0,,11.863729817804769,17.421666666666667,10.389455958549222,11.312902105048028,13.95368888888889,14.569095238095239,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,0.0
3,01004,Aramaio,Araba/Álava,País Vasco,1442.0,748.0,694.0,,566.0,425.0,991.0,,28.0,85.0,892.0,145.0,77.0,1302.0,15.0,37.0,36.0,28.0,8.0,3.0,3.0,62.0,50.0,25.0,13.0,827.0,607.0,320.0,150.0,115.0,46.0,13.0,6.0,69.0,35.0,13.0,5.0,,11.55469632164243,15.851785714285715,10.123548387096774,10.577182587666263,15.985652173913044,14.127971014492754,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
4,01006,Artziniega,Araba/Álava,País Vasco,1800.0,892.0,908.0,,630.0,490.0,1120.0,,40.0,108.0,1018.0,118.0,101.0,1456.0,34.0,68.0,60.0,40.0,9.0,1.0,1.0,90.0,59.0,31.0,17.0,926.0,614.0,296.0,157.0,86.0,43.0,14.0,7.0,83.0,31.0,6.0,4.0,,12.348278816199377,18.486,11.213666666666667,11.57828293736501,14.799767441860466,16.174939759036146,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
5,01008,Armiñón,Araba/Álava,País Vasco,223.0,115.0,108.0,,85.0,68.0,153.0,,5.0,25.0,185.0,23.0,16.0,276.0,6.0,14.0,12.0,5.0,0.0,0.0,0.0,21.0,13.0,2.0,2.0,171.0,102.0,47.0,28.0,19.0,7.0,3.0,2.0,16.0,9.0,1.0,0.0,,13.5140873015873,19.91,13.290476190476191,12.690058479532164,16.14,15.438125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
6,01009,Arratzua-Ubarrundia,Araba/Álava,País Vasco,984.0,539.0,445.0,,418.0,318.0,736.0,,30.0,126.0,757.0,110.0,82.0,1169.0,22.0,50.0,28.0,29.0,6.0,1.0,0.0,93.0,72.0,29.0,13.0,677.0,425.0,229.0,120.0,85.0,47.0,23.0,15.0,67.0,39.0,13.0,8.0,,12.124233067729083,17.755862068965516,10.954516129032259,11.734490398818316,12.589176470588235,13.747462686567165,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,0.0
7,01010,Asparrena,Araba/Álava,País Vasco,1623.0,833.0,790.0,,592.0,427.0,1019.0,,43.0,48.0,894.0,156.0,158.0,1402.0,13.0,36.0,62.0,42.0,11.0,1.0,0.0,36.0,25.0,9.0,5.0,811.0,503.0,243.0,119.0,122.0,47.0,21.0,12.0,144.0,74.0,17.0,9.0,,13.107473769168685,17.77547619047619,11.710555555555555,12.108914919852035,15.956065573770491,14.835138888888888,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
8,01011,Ayala/Aiara,Araba/Álava,País Vasco,2968.0,1500.0,1468.0,,1058.0,861.0,1919.0,,66.0,222.0,1793.0,269.0,265.0,2812.0,63.0,77.0,153.0,66.0,7.0,4.0,3.0,152.0,107.0,46.0,29.0,1663.0,1131.0,504.0,247.0,216.0,99.0,47.0,26.0,226.0,101.0,28.0,12.0,,12.435421686746988,18.227272727272727,11.228223684210526,11.595892964521948,14.294722222222223,15.027345132743363,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,0.0
9,01013,Baños de Ebro/Mañueta,Araba/Álava,País Vasco,294.0,166.0,128.0,,121.0,61.0,182.0,,12.0,21.0,193.0,45.0,70.0,351.0,3.0,11.0,10.0,12.0,1.0,1.0,0.0,15.0,11.0,3.0,2.0,174.0,101.0,52.0,28.0,33.0,16.0,7.0,5.0,67.0,28.0,9.0,7.0,,13.639032258064516,18.525833333333335,11.857333333333333,12.83603448275862,14.033333333333333,15.013582089552239,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0
