Código INE,Municipio,Provincia,Comunidad Autónoma,Población Total,Población Hombres,Población Mujeres,Unnamed: 7,Conductores Hombres,Conductoras Mujeres,Censo Conductores,Unnamed: 11,Parque Ciclomotores,Parque Motocicletas,Parque Turismos,Parque Furgonetas,Parque Camiones,Parque Total,Motocicletas sin ITV (<25 años),Turismos sin ITV (<25 años),Resto de Vehículos sin ITV (<25 años),Parque Ciclomotores (<25 años),Parque Ciclomotores (<15 años),Parque Ciclomotores (<8 años),Parque Ciclomotores (<4 años),Parque Motocicletas (<25 años),Parque Motocicletas (<15 años),Parque Motocicletas (<8 años),Parque Motocicletas (<4 años),Parque Turismos (<25 años),Parque Turismos (<15 años),Parque Turismos (<8 años),Parque Turismos (<4 años),Parque Furgonetas (<25 años),Parque Furgonetas (<15 años),Parque Furgonetas (<8 años),Parque Furgonetas (<4 años),Parque Camiones (<25 años),Parque Camiones (<15 años),Parque Camiones (<8 años),Parque Camiones (<4 años),Unnamed: 41,Antigüedad Media del Parque (<25 años),Antigüedad Media de Ciclomotores,Antigüedad Media de Motocicletas,Antigüedad Media de Turismos,Antigüedad Media de Furgonetas,Antigüedad Media de Camiones,Unnamed: 48,Bicicletas Fallecidos,Bicicletas Heridos Graves,Bicicletas Heridos Leves,Ciclomotores Fallecidos,Ciclomotores Heridos Graves,Ciclomotores Heridos Leves,Motocicletas Fallecidos,Motocicletas Heridos Graves,Motocicletas Heridos Leves,Turismos Fallecidos,Turismos Heridos Graves,Turismos Heridos Leves,Furgonetas Fallecidos,Furgonetas Heridos Graves,Furgonetas Heridos Leves,Camiones Fallecidos,Camiones Heridos Graves,Camiones Heridos Leves,Autobús Fallecidos,Autobús Heridos Graves,Autobús Heridos Leves,Otros Fallecidos,Otros Heridos Graves,Otros Heridos Leves,Peatones Fallecidos,Peatones Heridos Graves,Peatones Heridos Leves,Nº Accidentes con Víctimas,Fallecidos,Heridos Hospitalizados,Heridos no Hospitalizados,Unnamed: 80,Total Sanciones con Puntos,Total Puntos Detraídos,Velocidad (2 puntos),Velocidad (4 puntos),Velocidad (6 puntos),Alcohol (4 puntos),Alcohol (6 puntos),Drogas (6 puntos),"Casco, Cinturón, SRI (3 puntos)",Móvil (3 puntos),Semáforo (4 puntos),Otra (3 puntos),Otra (4 puntos),Otra (6 puntos),Unnamed: 95,Campañas
02005,Albacete,Albacete,Castilla-La Mancha,174336.0,85214.0,89122.0,,59160.0,45441.0,104601.0,,9030.0,14389.0,81856.0,7549.0,8488.0,125053.0,2222.0,5179.0,3112.0,9018.0,2162.0,392.0,201.0,11117.0,8804.0,4211.0,2359.0,73685.0,45448.0,22302.0,12408.0,5805.0,3970.0,2018.0,1018.0,7480.0,3515.0,1069.0,558.0,,12.51862230408391,17.457079174983367,10.153444274534497,12.094810748456267,11.33404478897502,14.801977272727273,,0.0,2.0,39.0,0.0,4.0,43.0,0.0,6.0,77.0,0.0,1.0,80.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,64.0,290.0,0.0,22.0,316.0,,1933.0,5751.0,799.0,182.0,37.0,45.0,58.0,,302.0,,94.0,337.0,46.0,33.0,,0.0
03017,Alicante/Alacant,Alicante/Alacant,Comunitat Valenciana,337482.0,163385.0,174097.0,,104997.0,80448.0,185445.0,,15646.0,32515.0,159336.0,11301.0,11695.0,235733.0,6937.0,17382.0,5912.0,15496.0,4591.0,1338.0,750.0,26513.0,20567.0,10811.0,5876.0,140107.0,94252.0,51549.0,27934.0,8353.0,5747.0,3358.0,1615.0,10039.0,4995.0,1765.0,923.0,,11.537465847428239,16.67117191533299,9.997706785350582,11.089721641316993,10.783069555848199,14.248061559916327,,1.0,4.0,1.0,0.0,4.0,2.0,2.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,30.0,5.0,24.0,6.0,,8999.0,24577.0,6178.0,1271.0,341.0,223.0,109.0,,295.0,1.0,254.0,27.0,120.0,180.0,,0.0
03068,Elche/Elx,Alicante/Alacant,Comunitat Valenciana,234765.0,116386.0,118379.0,,79269.0,60315.0,139584.0,,7566.0,18033.0,116172.0,8816.0,10689.0,164532.0,3463.0,9789.0,4117.0,7448.0,1632.0,482.0,278.0,14394.0,11129.0,5641.0,3057.0,105885.0,67480.0,36167.0,19482.0,6524.0,4240.0,2332.0,1160.0,9431.0,4318.0,1348.0,650.0,,12.025694498514497,17.55017185821697,10.194337918577185,11.644858478538037,11.416839362354384,14.921844979323508,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,12.0,2.0,10.0,4.0,,2065.0,8159.0,234.0,84.0,18.0,257.0,113.0,,199.0,,295.0,386.0,134.0,345.0,,0.0
04017,Almería,Almería,Andalucía,201322.0,98531.0,102791.0,,65771.0,48869.0,114640.0,,12777.0,16816.0,94000.0,7571.0,7987.0,142223.0,3238.0,10790.0,4186.0,12756.0,3544.0,948.0,547.0,12723.0,9879.0,5267.0,3042.0,83388.0,54505.0,28374.0,15610.0,5285.0,2991.0,1550.0,845.0,6761.0,3011.0,1002.0,521.0,,12.136670557244175,16.604508466603953,9.923042521417905,11.487970811147887,12.727674550614948,14.938006212098802,,0.0,4.0,16.0,0.0,2.0,32.0,1.0,3.0,64.0,0.0,0.0,86.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,17.0,0.0,5.0,61.0,236.0,1.0,17.0,280.0,,882.0,3079.0,2.0,1.0,,28.0,17.0,,147.0,,201.0,384.0,76.0,26.0,,0.0
05025,Ávila,Ávila,Castilla y León,58369.0,27784.0,30585.0,,20703.0,16973.0,37676.0,,1205.0,3303.0,30969.0,2823.0,2228.0,41695.0,572.0,1396.0,904.0,1193.0,286.0,52.0,34.0,2486.0,1937.0,825.0,471.0,27345.0,17187.0,8082.0,4196.0,2285.0,1504.0,747.0,353.0,1868.0,914.0,238.0,125.0,,12.342905949777126,17.352103939647947,10.681504424778762,12.130837447430974,11.700214442013129,14.720133832976446,,0.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,18.0,42.0,2.0,5.0,45.0,,637.0,2001.0,117.0,13.0,4.0,18.0,17.0,,159.0,,5.0,242.0,39.0,23.0,,0.0
06021,Badajoz,Badajoz,Extremadura,150984.0,73170.0,77814.0,,53261.0,40525.0,93786.0,,7481.0,10670.0,83680.0,6506.0,4606.0,116431.0,2375.0,7274.0,2936.0,6628.0,1934.0,506.0,329.0,8480.0,6618.0,3189.0,1860.0,75945.0,50155.0,24189.0,12101.0,5163.0,3173.0,1569.0,749.0,3845.0,2067.0,714.0,377.0,,11.991508655502253,16.947871152685575,10.20730896226415,11.641989729409442,12.435644005423203,13.733586475942783,,0.0,0.0,18.0,0.0,0.0,27.0,1.0,4.0,55.0,1.0,1.0,113.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,5.0,48.0,229.0,5.0,11.0,269.0,,2655.0,8843.0,974.0,172.0,33.0,59.0,50.0,,136.0,,766.0,215.0,72.0,178.0,,0.0
07047,Palma de Mallorca,Balears (Illes),Balears (Illes),422587.0,206654.0,215933.0,,120296.0,122595.0,242891.0,,18983.0,49579.0,247630.0,15941.0,22012.0,360254.0,11925.0,35032.0,11311.0,18905.0,5907.0,2437.0,1343.0,36161.0,29131.0,17479.0,9630.0,202461.0,140661.0,79753.0,42580.0,10467.0,8204.0,4978.0,2431.0,18987.0,10446.0,4321.0,2230.0,,11.130592495310855,16.124112668606188,9.287275241282044,10.833280384864246,9.55370115601414,13.549055142992573,,0.0,4.0,81.0,0.0,4.0,73.0,2.0,20.0,225.0,0.0,5.0,257.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,2.0,91.0,2.0,9.0,112.0,801.0,4.0,44.0,865.0,,,,,,,,,,,,,,,,,1.0
08029,Badalona,Barcelona,Cataluña,223166.0,110018.0,113148.0,,66362.0,42069.0,108431.0,,4916.0,21022.0,83567.0,7236.0,6785.0,126321.0,4112.0,7168.0,3281.0,4907.0,1514.0,429.0,229.0,17672.0,14761.0,8332.0,4668.0,70544.0,50113.0,28082.0,15927.0,4789.0,3366.0,1878.0,872.0,5593.0,3343.0,1177.0,607.0,,10.79520864466093,16.514189932749133,9.030091104572204,10.574106798593785,10.975940697431614,13.284230287859824,,0.0,3.0,49.0,0.0,0.0,32.0,3.0,7.0,187.0,0.0,0.0,221.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,1.0,37.0,1.0,3.0,83.0,523.0,4.0,14.0,657.0,,650.0,2512.0,29.0,2.0,1.0,40.0,47.0,2.0,94.0,,219.0,116.0,60.0,40.0,,0.0
08033,Barcelona,Barcelona,Cataluña,1664182.0,790708.0,873474.0,,459080.0,341310.0,800390.0,,54132.0,253150.0,546026.0,55548.0,38941.0,968655.0,42753.0,46030.0,20378.0,54020.0,25785.0,15506.0,12654.0,196868.0,159767.0,87050.0,49018.0,431859.0,319833.0,182408.0,101394.0,36337.0,26594.0,15323.0,7568.0,29800.0,19298.0,7416.0,3965.0,,10.343817704355468,13.079289337282487,9.444082227685556,10.18273552247377,10.50728596196714,12.529152684563758,,1.0,7.0,447.0,0.0,6.0,487.0,9.0,70.0,3125.0,1.0,1.0,969.0,0.0,0.0,103.0,0.0,0.0,14.0,1.0,5.0,365.0,1.0,8.0,409.0,7.0,30.0,642.0,5365.0,20.0,127.0,6561.0,,13265.0,40302.0,5552.0,927.0,307.0,701.0,265.0,670.0,746.0,3129.0,190.0,569.0,56.0,153.0,,0.0
08115,"Hospitalet de Llobregat, L'",Barcelona,Cataluña,269382.0,130289.0,139093.0,,71547.0,39262.0,110809.0,,6707.0,23141.0,79641.0,7013.0,7087.0,126843.0,4030.0,6641.0,3463.0,6701.0,2546.0,818.0,458.0,19661.0,16346.0,9072.0,5195.0,68643.0,49689.0,28083.0,16608.0,4952.0,3636.0,2071.0,1027.0,5849.0,3750.0,1248.0,638.0,,10.61460287893179,15.617170571556484,9.113938762016174,10.354553414040762,10.512166801292407,12.877225166695162,,0.0,1.0,31.0,0.0,1.0,20.0,0.0,5.0,168.0,0.0,2.0,67.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,51.0,2.0,3.0,72.0,394.0,2.0,12.0,438.0,,,,,,,,,,,,,,,,,0.0
