COD,Total viviendas,Total viviendas principales,Viviendas secundarias,Viviendas vacias,Total viviendas colectivas,Ciudad
02003,"83,250","62,980","5,168","15,081",22, Albacete
28005,"78,947","71,864","1,255","5,798",30, Alcalá de Henares
28006,"41,189","39,101",566,"1,513",9, Alcobendas
28007,"70,861","66,066","1,303","3,488",4, Alcorcón
11004,"54,089","42,692","4,700","6,686",11, Algeciras
04011,"2,010","1,372",331,305,2, Alhama de Almería
18013,"3,303","2,346",277,676,4, Alhama de Granada
30008,"13,917","7,356","4,027","2,532",2, Alhama de Murcia
03014,"186,558","132,637","28,707","25,172",42, Alicante/Alacant
04013,"99,692","69,178","12,276","18,220",18, Almería
05019,"34,487","22,770","3,506","8,189",22, Ávila
06015,"72,067","56,297","5,161","10,589",20, Badajoz
08015,"92,894","81,793","2,199","8,881",21, Badalona
08019,"811,521","684,078","38,769","88,259",414, Barcelona
05021,"2,498","1,138","1,150",208,2," Barco de Ávila, El"
09059,"92,140","71,076","6,893","14,107",65, Burgos
45023,"1,611",983,327,301,0, Burguillos de Toledo
10037,"50,311","37,048","5,989","7,256",18, Cáceres
11012,"59,204","46,966","5,346","6,874",17, Cádiz
30016,"115,780","76,599","28,332","10,818",30, Cartagena
10049,"2,828","1,736",469,621,2, Casar de Cáceres
12040,"90,990","68,917","8,363","13,696",14, Castellón de la Plana/Castelló de la Plana
51001,"26,664","24,904",413,"1,335",13, Ceuta
13034,"38,018","29,682","3,070","5,253",13, Ciudad Real
14021,"152,772","121,823","13,280","17,615",54, Córdoba
15030,"135,450","105,584","10,544","19,283",40," Coruña, A"
16078,"30,958","21,473","4,594","4,866",25, Cuenca
41903,"3,356","2,985",6,364,1," Cuervo de Sevilla, El"
41038,"50,661","44,299","1,094","5,258",10, Dos Hermanas
03065,"113,351","86,118","13,660","13,558",15, Elche/Elx
28058,"70,841","66,655",674,"3,506",6, Fuenlabrada
30021,"9,364","5,438",959,"2,966",1, Fuente Álamo de Murcia
06055,"1,647",996,269,382,0, Fuentes de León
28065,"69,002","62,509","1,663","4,812",17, Getafe
33024,"147,212","122,519","8,079","16,551",63, Gijón
17079,"47,486","38,245","2,474","6,727",40, Girona
18087,"140,027","96,916","16,029","27,024",59, Granada
08094,965,816,55,94,0," Granada, La"
19130,"40,223","32,538","2,263","5,398",23, Guadalajara
23038,"1,945","1,393",396,155,1," Guardia de Jaén, La"
08101,"112,105","102,031","1,429","8,605",39," Hospitalet de Llobregat, L'"
21041,"67,752","55,255","3,979","8,507",11, Huelva
04052,"7,096","5,568",365,"1,162",1, Huércal de Almería
22125,"28,310","20,786","2,615","4,883",26, Huesca
28073,"7,076","6,430",133,512,1, Humanes de Madrid
23050,"54,642","43,258","4,123","7,247",13, Jaén
11020,"92,037","77,378","4,424","10,213",23, Jerez de la Frontera
28074,"75,525","70,949",651,"3,914",11, Leganés
24089,"78,776","57,490","5,889","15,346",51, León
25120,"66,454","55,792","3,167","7,456",40, Lleida
26089,"77,682","61,904","4,106","11,640",33, Logroño
27028,"59,647","40,227","7,026","12,370",24, Lugo
28079,"1,531,490","1,320,531","57,325","153,101",533, Madrid
45087,"5,385","3,723",512,"1,148",2, Madridejos
29067,"254,736","211,358","14,890","28,410",78, Málaga
10115,"2,678","1,639",561,477,1, Malpartida de Cáceres
29069,"86,716","48,791","26,231","11,678",16, Marbella
08121,"54,329","47,081","1,272","5,957",19, Mataró
52001,"26,246","24,666",200,"1,367",13, Melilla
14040,"2,067","1,692",139,236,0, Montalbán de Córdoba
28092,"79,599","74,951","1,649","2,992",6, Móstoles
30030,"207,618","156,916","14,611","36,044",47, Murcia
32054,"67,104","43,805","8,707","14,561",32, Ourense
33044,"123,730","97,821","7,283","18,582",45, Oviedo
34120,"44,610","32,691","4,745","7,137",37, Palencia
35016,"182,930","144,987","8,299","29,604",40," Palmas de Gran Canaria, Las"
28106,"47,097","43,712",576,"2,805",4, Parla
36038,"39,568","30,946","1,726","6,886",10, Pontevedra
45134,"1,167",790,73,303,1, Portillo de Toledo
14055,"12,547","9,064","1,518","1,960",5, Priego de Córdoba
28127,"35,403","29,873","1,855","3,660",15," Rozas de Madrid, Las"
08187,"93,237","81,596","1,423","10,184",34, Sabadell
37274,"92,491","64,588","14,907","12,954",42, Salamanca
38023,"71,233","57,555","4,045","9,621",13, San Cristóbal de La Laguna
40906,"1,376","1,034",153,189,0, San Cristóbal de Segovia
08244,"3,033","2,738",150,144,1, Santa Coloma de Cervelló
17180,"5,820","4,700",359,757,4, Santa Coloma de Farners
08245,"48,527","45,646",498,"2,371",12, Santa Coloma de Gramenet
43139,"1,721","1,082",189,449,1, Santa Coloma de Queralt
38038,"96,313","78,572","5,125","12,593",23, Santa Cruz de Tenerife
39075,"92,442","73,395","8,286","10,742",18, Santander
40194,"28,894","21,254","2,649","4,972",19, Segovia
06124,"1,379",769,323,287,0, Segura de León
41091,"337,303","268,435","20,612","48,178",77, Sevilla
28141,"4,027","3,033",548,441,5, Sevilla la Nueva
42173,"23,597","15,965","3,645","3,977",10, Soria
43148,"65,723","52,391","5,548","7,772",12, Tarragona
08279,"101,739","83,249","2,544","15,908",38, Terrassa
44216,"19,022","13,218","2,755","3,026",22, Teruel
45168,"37,923","31,386","2,464","4,030",44, Toledo
28148,"49,216","44,581",661,"3,967",7, Torrejón de Ardoz
23093,"2,456","1,556",530,370,0, Valdepeñas de Jaén
46250,"419,994","328,979","33,757","57,193",64, Valencia
10203,"3,859","2,430",977,450,2, Valencia de Alcántara
24188,"4,070","2,002","1,005","1,062",1, Valencia de Don Juan
06141,"1,425",834,313,278,0, Valencia del Ventoso
47186,"158,259","129,151","10,260","18,757",91, Valladolid
06143,"1,825","1,474",51,300,0, Valverde de Leganés
29094,"47,240","28,606","12,062","6,563",9, Vélez-Málaga
36057,"143,638","114,455","10,536","18,588",58, Vigo
14067,"2,156","1,706",187,262,1, Villafranca de Córdoba
14069,"5,233","3,572",818,839,4, Villanueva de Córdoba
14073,"2,243","1,415",604,223,1, Villaviciosa de Córdoba
49275,"39,079","27,297","5,092","6,673",17, Zamora
50297,"327,112","277,588","14,208","35,136",180, Zaragoza
