,COD Ciudad,Renta neta media por persona 2020,COD,CIUDAD
81,39075 Santander,14202,39075, Santander
42,12040 Castelló de la Plana,12785,12040, Castelló de la Plana
40,13034 Ciudad Real,13580,13034, Ciudad Real
27,14021 Córdoba,11791,14021, Córdoba
46,14040 Montalbán de Córdoba,9408,14040, Montalbán de Córdoba
54,14048 Palenciana,8791,14048, Palenciana
61,14055 Priego de Córdoba,8960,14055, Priego de Córdoba
73,14067 Villafranca de Córdoba,9610,14067, Villafranca de Córdoba
75,14069 Villanueva de Córdoba,9167,14069, Villanueva de Córdoba
79,14073 Villaviciosa de Córdoba,8543,14073, Villaviciosa de Córdoba
36,"15030 Coruña, A",14591,15030," Coruña, A"
28,16023 Chillarón de Cuenca,12822,16023, Chillarón de Cuenca
75,16078 Cuenca,13160,16078, Cuenca
80,17079 Girona,14750,17079, Girona
123,17126 Parlavà,15158,17126, Parlavà
17,18013 Alhama de Granada,8789,18013, Alhama de Granada
27,18024 Beas de Granada,10635,18024, Beas de Granada
79,18087 Granada,13251,18087, Granada
179,18915 Domingo Pérez de Granada,8209,18915, Domingo Pérez de Granada
43,19015 Aldeanueva de Guadalajara,13966,19015, Aldeanueva de Guadalajara
44,1901501 Aldeanueva de Guadalajara distrito 01,13966,1901501, Aldeanueva de Guadalajara distrito 
45,1901501001 Aldeanueva de Guadalajara sección 01001,13966,1901501001, Aldeanueva de Guadalajara sección 
358,19130 Guadalajara,13514,19130, Guadalajara
359,1913001 Guadalajara distrito 01,12154,1913001, Guadalajara distrito 
360,1913001001 Guadalajara sección 01001,13048,1913001001, Guadalajara sección 
361,1913001002 Guadalajara sección 01002,16638,1913001002, Guadalajara sección 
362,1913001003 Guadalajara sección 01003,13347,1913001003, Guadalajara sección 
363,1913001004 Guadalajara sección 01004,13025,1913001004, Guadalajara sección 
364,1913001005 Guadalajara sección 01005,12112,1913001005, Guadalajara sección 
365,1913001006 Guadalajara sección 01006,11132,1913001006, Guadalajara sección 
366,1913001007 Guadalajara sección 01007,11910,1913001007, Guadalajara sección 
