,COD Ciudad,Renta neta media por persona 2020,COD,CIUDAD
13,02003 Albacete,12529,02003, Albacete
64,04011 Alhama de Almería,9056,04011, Alhama de Almería
71,04013 Almería,11233,04013, Almería
357,04052 Huércal de Almería,10408,04052, Huércal de Almería
236,33024 Gijón,13842,33024, Gijón
667,33044 Oviedo,14657,33044, Oviedo
59,05019 Ávila,13209,05019, Ávila
105,"05021 Barco de Ávila, El",11513,05021," Barco de Ávila, El"
252,05073 Flores de Ávila,12388,05073, Flores de Ávila
578,05185 Peñalba de Ávila,10925,05185, Peñalba de Ávila
726,05236 Solana de Ávila,9966,05236, Solana de Ávila
756,05245 Tornadizos de Ávila,12280,05245, Tornadizos de Ávila
828,05905 Villanueva de Ávila,14191,05905, Villanueva de Ávila
95,06015 Badajoz,11775,06015, Badajoz
269,06026 Calera de León,8134,06026, Calera de León
394,06051 Fuenlabrada de los Montes,8083,06051, Fuenlabrada de los Montes
417,06055 Fuentes de León,8161,06055, Fuentes de León
782,06124 Segura de León,8642,06124, Segura de León
838,06139 Valencia de las Torres,9528,06139, Valencia de las Torres
841,06140 Valencia del Mombuey,8480,06140, Valencia del Mombuey
844,06141 Valencia del Ventoso,7923,06141, Valencia del Ventoso
851,06143 Valverde de Leganés,8415,06143, Valverde de Leganés
21,08015 Badalona,12537,08015, Badalona
25,08019 Barcelona,16750,08019, Barcelona
100,"08094 Granada, La",14576,08094," Granada, La"
107,"08101 Hospitalet de Llobregat, L'",11726,08101," Hospitalet de Llobregat, L'"
127,08121 Mataró,12201,08121, Mataró
191,08187 Sabadell,13520,08187, Sabadell
249,08245 Santa Coloma de Gramenet,10799,08245, Santa Coloma de Gramenet
283,08279 Terrassa,13243,08279, Terrassa
175,09059 Burgos,14421,09059, Burgos
369,09072 Carcedo de Burgos,16178,09072, Carcedo de Burgos
984,09332 Saldaña de Burgos,14419,09332, Saldaña de Burgos
996,09338 San Mamés de Burgos,12687,09338, San Mamés de Burgos
1232,09439 Villalbilla de Burgos,13980,09439, Villalbilla de Burgos
131,10037 Cáceres,12815,10037, Cáceres
245,10049 Casar de Cáceres,9869,10049, Casar de Cáceres
484,10115 Malpartida de Cáceres,10947,10115, Malpartida de Cáceres
842,10203 Valencia de Alcántara,9502,10203, Valencia de Alcántara
10,11004 Algeciras,10665,11004, Algeciras
18,11012 Cádiz,12997,11012, Cádiz
26,11020 Jerez de la Frontera,10049,11020, Jerez de la Frontera
