,ciudades,COM,COM_iqr,ED_SING,ED_SING_iqr,EQUIP_EDU,EQUIP_EDU_iqr,EQUIP_OTR,EQUIP_OTR_iqr,EQUIP_SANI,EQUIP_SANI_iqr,HOS_REST,HOS_REST_iqr,IND,IND_MX,IND_MX_iqr,IND_iqr,OCIO_ESP,OCIO_ESP_iqr,OFI,OFI_iqr,RES_PLU,RES_PLU_MX,RES_PLU_MX_iqr,RES_PLU_iqr,RES_UNI,RES_UNI_MX,RES_UNI_MX_iqr,RES_UNI_iqr,SIN_EDIF,SIN_EDIF_iqr
0,Albacete,0.3095440391172847,tipico,4.77509376770947,tipico,3.4276932812001784,tipico,4.188649933465797,tipico,0.7433909812888341,tipico,0.4086639920686706,tipico,13.464697745887657,6.489358535406072,tipico,tipico,0.0774899999380391,tipico,0.3849672346508034,tipico,6.551059362912091,5.1272087780519415,tipico,tipico,22.82046268081343,0.7881674104634985,tipico,tipico,30.443552257026237,tipico
1,Alcala,1.0569545367500437,tipico,7.641072149258671,tipico,5.264190108213342,tipico,6.815777672220364,tipico,1.005046449230529,tipico,0.4637108480466468,tipico,15.868682579881105,12.52389011433896,tipico,tipico,0.0950058747939116,tipico,1.287051681969084,atipico,6.621816622570351,2.8754979794288524,tipico,tipico,6.032543240844367,0.3137760913239507,tipico,tipico,32.13498405112982,tipico
2,Alcobendas,0.400439550459017,tipico,5.4487285028441255,tipico,2.9431004990335614,tipico,5.116550618623897,tipico,0.2190566466635179,tipico,0.2005179500698266,tipico,2.155552221100681,4.377017750070442,tipico,tipico,0.0185572167701086,tipico,2.4537603977363456,atipico,5.92340062441886,1.340271831000575,tipico,tipico,19.175420258917253,1.5886236927209374,tipico,tipico,48.63900223957086,tipico
3,Alcorcon,1.2122896383304982,tipico,4.340480725212581,tipico,7.349395964160363,tipico,11.821959064426151,atipico,1.8823746997014008,tipico,0.1829308757655997,tipico,7.639872744576951,8.18219783465247,tipico,tipico,0.0508324322969366,tipico,0.2178957477991493,tipico,10.475899867419503,4.596988875353927,tipico,tipico,5.14816766234603,0.1316324594204219,tipico,tipico,36.76708140853802,tipico
4,Algeciras.shp,0.5808571787164025,tipico,1.03078279642424,tipico,2.1606615895593726,tipico,3.99014724279517,tipico,0.5976119921903559,tipico,0.3793879948522101,tipico,5.176627323672258,2.126967531980508,tipico,tipico,0.0552346094766511,tipico,0.1785524957200271,tipico,3.154988597930916,2.2428656320707274,tipico,tipico,25.815776877146785,2.793452542357332,tipico,tipico,49.716085595107046,tipico
5,Alicante,0.7840317892957702,tipico,2.063975179511608,tipico,3.1387920686092072,tipico,4.051965824008533,tipico,0.7012249786320696,tipico,0.4261733520530775,tipico,8.098097514356986,3.8499163868040345,tipico,tipico,1.1799413729726065,atipico,0.2849202467016793,tipico,7.717094538974418,9.493302803671137,tipico,tipico,24.11305808646765,1.789253786913375,tipico,tipico,32.30825207102785,tipico
6,Almeria,0.7438102600627993,tipico,3.990153249312799,tipico,4.059135221854465,tipico,6.725577050854639,tipico,2.611154545146654,tipico,0.6487814269713055,tipico,4.448190495814856,1.3411387126016256,tipico,tipico,0.0436267115691082,tipico,0.514804350039294,tipico,9.287867034692567,6.433732199828748,tipico,tipico,19.746062942274115,1.498736966272011,tipico,tipico,37.907228832705016,tipico
7,Avila,0.1912920271388884,tipico,0.6765575093920556,tipico,27.870571529459014,atipico,1.0310444339853262,tipico,0.5122048855164417,tipico,0.1127447422522499,tipico,3.366757488820148,5.053965636008142,tipico,tipico,0.0192805977074345,tipico,0.4487970999843707,tipico,4.464816471419074,3.749831350429985,tipico,tipico,13.331932187510716,1.780583235854253,tipico,tipico,37.3896208045219,tipico
8,Badajoz,0.8914674045132367,tipico,1.2929280971388033,tipico,3.224983775557385,tipico,4.030296684408155,tipico,0.8912884662866607,tipico,0.1602888869619104,tipico,4.501162686630795,1.5599238132156448,tipico,tipico,0.0134743324901177,tipico,0.2857018614773293,tipico,3.9919272161094623,3.4167260263463533,tipico,tipico,37.75960137789251,7.825860499020086,atipico,atipico,30.154368871951547,tipico
9,Badalona,0.9574121450180294,tipico,6.53766956852053,tipico,4.257736594588943,tipico,7.081881363137084,tipico,1.1163266809159658,tipico,0.1179960166475664,tipico,12.1913953587256,6.113946346437523,tipico,tipico,0.079265532880816,tipico,0.3579468151733719,tipico,14.79735689824992,8.952640423098392,tipico,tipico,12.96827201927817,1.2972343569843052,tipico,tipico,23.172919880343784,tipico
10,Barcelona,1.1992910817245603,tipico,3.190351741791823,tipico,4.615795129895981,tipico,6.620600963018481,tipico,1.3087238056643375,tipico,0.921912809321849,tipico,7.606801671822369,2.3480780817958675,tipico,tipico,0.5127821375694889,atipico,1.8657062894260743,atipico,14.825713385224814,16.080323687386596,atipico,tipico,5.700264860457356,1.7809629384100776,tipico,tipico,31.422691416490323,tipico
